Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession
397671896	RVBD_0112	WP_003400829.1	GDP-mannose 4,6-dehydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671897	RVBD_0113	WP_003400839.1	phosphoheptose isomerase	2 to 1	RBB	WP_002918211.1;WP_004145825.1	1 to 2	RBB	WP_002918211.1;WP_008805261.1	1 to 2	RBB	WP_004145825.1;WP_002918211.1	1 to 2	RBB	NP_414757.1;NP_417618.1	1 to 2	RBB	WP_004222780.1;WP_002918211.1	1 to 2	RBB	WP_004145825.1;WP_002918211.1	1 to 2	RBB	YP_005225262;YP_005228994
397671898	RVBD_0114	WP_003400840.1	D,D-heptose 1,7-bisphosphate phosphatase	1 to 1	RBB	WP_002889452.1	1 to 1	RBB	WP_008807333.1	1 to 1	RBB	WP_041937581.1	1 to 1	RBB	NP_414742.1	1 to 1	RBB	WP_002889452.1	1 to 1	RBB	WP_002889452.1	1 to 1	RBB	YP_005225247
397671899	RVBD_0115	WP_003899819.1	D-alpha-D-heptose-7-phosphate kinase hddA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671900	RVBD_0115A	YP_006513434	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671901	RVBD_0116c	WP_003400856.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671902	RVBD_0117	WP_003400857.1	oxidative stress response regulatory protein oxyS	1 to 1	RBB	WP_014907538.1	1 to 1	RBB	WP_012541629.1	1 to 1	RBB	WP_002906016.1	1 to 8	RBB	NP_414872.3;NP_415289.4;NP_415791.1;NP_416493.1;NP_416900.1;NP_417032.1;NP_418221.1;NP_418396.1	1 to 1	RBB	WP_002906016.1	1 to 1	RBB	WP_014907538.1	1 to 1	RBB	YP_005227088
397671903	RVBD_0118c	WP_003900812.1	oxalyl-CoA decarboxylase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_416874.1	0	N/A		0	N/A		0	N/A	
397671904	RVBD_0119	WP_003899822.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671905	RVBD_0120c	WP_003916609.1	elongation factor G-like protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671906	RVBD_0121c	WP_003400864.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671907	RVBD_0122	WP_003400865.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671908	RVBD_0123	WP_003400878.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671909	RVBD_0124	WP_010886067.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671910	RVBD_0125	WP_003400885.1	serine protease pepA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671911	RVBD_0126	WP_003400893.1	trehalose synthase	1 to 1	RBB	WP_004184169.1	1 to 1	RBB	WP_012541620.1	1 to 1	RBB	WP_004184169.1	0	N/A		1 to 1	RBB	WP_004898428.1	1 to 1	RBB	WP_004184169.1	1 to 1	RBB	YP_005227103
397671912	RVBD_0127	WP_003916610.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671913	RVBD_0128	WP_003899825.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671914	RVBD_0129c	WP_003400908.1	antigen 85-C	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671915	RVBD_0130	WP_003400912.1	acyl dehydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671916	RVBD_0131c	WP_023637326.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671917	RVBD_0132c	WP_003899826.1	G6PDH family F420-dependent oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671918	RVBD_0133	WP_003400924.1	acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671919	RVBD_0134	WP_003899827.1	epoxide hydrolase EphF	1 to 3	RBB	WP_004180015.1	3 to 1	RBB	WP_012541638.1	3 to 1	RBB	WP_004180015.1	0	N/A		3 to 1	RBB	WP_004189934.1	3 to 1	RBB	WP_004180015.1	3 to 1	RBB	YP_005227062
397671920	RVBD_0135c	WP_003400935.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671921	RVBD_0136	WP_003400938.1	cytochrome P450 138 cyp138	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671922	RVBD_0137c	WP_003400942.1	peptide methionine sulfoxide reductase MsrA	1 to 1	SSD	WP_004177674.1	1 to 1	RBB	WP_008807152.1	1 to 1	SSD	WP_002886721.1	1 to 1	RBB	NP_418640.1	1 to 1	RBB	WP_002886721.1	1 to 1	RBB	WP_004177674.1	1 to 1	SSD	YP_005224757
397671923	RVBD_0138	WP_003400945.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671924	RVBD_0139	WP_003400947.1	dihydroflavonol-4-reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671925	RVBD_0140	WP_003400949.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671926	RVBD_0141c	WP_003400951.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671927	RVBD_0142	WP_003917890.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671928	RVBD_0143c	WP_003911116.1	CIC family chloride channel protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671929	RVBD_0144	WP_003911117.1	TetR family transcriptional regulator	1 to 1	RBB	WP_002908844.1	0	N/A		0	N/A		1 to 1	RBB	NP_416135.1	1 to 1	RBB	WP_002908844.1	1 to 1	RBB	WP_002908844.1	1 to 1	RBB	YP_005227414
397671930	RVBD_0145	WP_003899829.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671931	RVBD_0146	WP_003899831.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671932	RVBD_0147	WP_003913557.1	aldehyde dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671933	RVBD_0148	WP_003400979.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671934	RVBD_0149	WP_003400985.1	NADPH2:quinone reductase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_417719.1	0	N/A		0	N/A		0	N/A	
397671935	RVBD_0150c	WP_003400989.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671936	RVBD_0151c	WP_023637327.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671937	RVBD_0152c	WP_003401003.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671938	RVBD_0153c	WP_003401010.1	protein-tyrosine phosphatase	1 to 1	RBB	WP_014907908.1	1 to 1	RBB	WP_012542369.1	1 to 1	RBB	WP_002895874.1	0	N/A		1 to 1	RBB	WP_004223814.1	1 to 1	RBB	WP_012737699.1	1 to 1	RBB	YP_005225984
397671939	RVBD_0154c	WP_003899834.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671940	RVBD_0155	WP_003401026.1	NAD(P)(+) transhydrogenase (AB-specific), alpha subunit	1 to 1	RBB	WP_004148265.1	1 to 1	RBB	WP_023340072.1	1 to 1	RBB	WP_004148265.1	1 to 1	RBB	NP_416120.1	1 to 1	RBB	WP_014599149.1	1 to 1	RBB	WP_004148265.1	1 to 1	RBB	YP_005226733
397671941	RVBD_0156	WP_003401030.1	NAD(P) transhydrogenase subunit alpha	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671942	RVBD_0157	WP_023637328.1	NAD(P) transhydrogenase subunit beta	1 to 1	RBB	WP_002903386.1	1 to 1	RBB	WP_012541888.1	1 to 1	RBB	WP_002903386.1	1 to 1	RBB	NP_416119.1	1 to 1	RBB	WP_002903386.1	1 to 1	RBB	WP_002903386.1	1 to 1	RBB	YP_005226734
397671943	RVBD_0157A	WP_003401037.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671944	RVBD_0158	WP_003401044.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		4 to 1	RBB	NP_415533.1	0	N/A		0	N/A		0	N/A	
397671945	RVBD_0159c	WP_003911094.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671946	RVBD_0160c	WP_003900817.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671947	RVBD_0161	WP_003401056.1	oxidoreductase	1 to 3	RBB	WP_041168954.1	0	N/A		3 to 1	RBB	WP_015958598.1	0	N/A		3 to 1	RBB	WP_004175614.1	3 to 1	RBB	WP_015874906.1	1 to 1	RBB	YP_005227933
397671948	RVBD_0162c	WP_003901814.1	alcohol dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671949	RVBD_0163	WP_003401060.1	acyl-CoA thioester hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671950	RVBD_0164	WP_003917895.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108324	RVBD_0165c	WP_003899836.1	GntR family transcriptional regulator	1 to 1	RBB	WP_004181429.1	1 to 2	RBB	WP_008806676.1;WP_008805006.1	1 to 1	RBB	WP_004181429.1	1 to 1	RBB	NP_415967.2	1 to 2	RBB	WP_004191866.1;WP_002903730.1	1 to 1	RBB	WP_004181429.1	1 to 2	RBB	YP_005225279;YP_005226801
397671952	RVBD_0166	WP_003899837.1	fatty-acyl-CoA synthase	1 to 2	RBB	WP_014907595.1	0	N/A		2 to 1	RBB	WP_015958414.1	0	N/A		2 to 1	RBB	WP_004224803.1	2 to 1	RBB	WP_014907595.1	2 to 1	RBB	YP_005226937
397671953	RVBD_0167	WP_003401074.1	ABC transporter permease	1 to 3	RBB	WP_004150949.1	3 to 1	RBB	WP_004150949.1	3 to 1	RBB	WP_004150949.1	3 to 1	RBB	NP_417661.1	3 to 1	RBB	WP_004150949.1	3 to 1	RBB	WP_004150949.1	3 to 1	RBB	YP_005229043
397671954	RVBD_0168	WP_003401077.1	ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671955	RVBD_0169	WP_003899838.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671956	RVBD_0170	WP_003899839.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671957	RVBD_0171	WP_003901818.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671958	RVBD_0172	WP_003401084.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671959	RVBD_0173	WP_023637330.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671960	RVBD_0174	WP_003911095.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671961	RVBD_0175	WP_003899842.1	MCE-associated membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671962	RVBD_0176	WP_003899843.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671963	RVBD_0177	WP_003401099.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671964	RVBD_0178	WP_003899844.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671965	RVBD_0179c	WP_003899845.1	lipoprotein LprO	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671966	RVBD_0180c	WP_003899846.1	YhgE/Pip domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671967	RVBD_0181c	WP_003401107.1	hypothetical protein	1 to 1	RBB	WP_014906835.1	1 to 2	RBB	WP_002920779.1;WP_008806591.1	1 to 2	RBB	WP_002917925.1;WP_002920779.1	1 to 1	RBB	NP_417896.1	1 to 1	RBB	WP_004901099.1	1 to 1	RBB	WP_014906835.1	1 to 2	RBB	YP_005228966;YP_005229256
397671968	RVBD_0182c	WP_031647048.1	RNA polymerase sigma-70 factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671969	RVBD_0183	WP_003401112.1	hypothetical protein	1 to 1	RBB	WP_002883412.1	1 to 1	RBB	WP_012543231.1	1 to 1	RBB	WP_002883412.1	1 to 1	RBB	NP_415928.1	1 to 1	RBB	WP_002883412.1	1 to 1	RBB	WP_002883412.1	1 to 1	RBB	YP_005224467
397671970	RVBD_0184	WP_003401116.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671971	RVBD_0185	WP_003401120.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671972	RVBD_0186	WP_003401122.1	beta-glucosidase	1 to 1	RBB	WP_015875047.1	1 to 1	RBB	WP_032691435.1	1 to 1	RBB	WP_004175093.1	1 to 1	RBB	NP_416636.1	1 to 1	RBB	WP_004899493.1	1 to 1	RBB	WP_015875047.1	1 to 1	RBB	YP_005227932
397671973	RVBD_0187	WP_003900823.1	methyltransferase	1 to 1	SSD	WP_002902896.1	1 to 1	RBB	WP_012541922.1	1 to 1	SSD	WP_002902896.1	0	N/A		1 to 1	RBB	WP_023316804.1	1 to 1	RBB	WP_002902896.1	1 to 1	SSD	YP_005226685
397671974	RVBD_0188	WP_003401141.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671975	RVBD_0189c	WP_003900824.1	dihydroxy-acid dehydratase	1 to 1	SSD	WP_012737118.1	1 to 1	RBB	WP_008807979.1	1 to 1	SSD	WP_002883173.1	1 to 1	RBB	YP_026248.1	1 to 1	RBB	WP_002883173.1	1 to 1	RBB	WP_012737118.1	1 to 1	SSD	YP_005224417
397671976	RVBD_0190	WP_003401147.1	hypothetical protein	1 to 1	RBB	WP_002891985.1	1 to 1	RBB	WP_012542675.1	1 to 1	RBB	WP_002891985.1	2 to 1	RBB	NP_414891.4	1 to 1	RBB	WP_002891985.1	1 to 1	RBB	WP_002891985.1	1 to 1	RBB	YP_005225466
397671977	RVBD_0191	WP_003401149.1	hypothetical protein	3 to 1	RBB	WP_012737432.1;WP_002904407.1;WP_014907794.1	1 to 3	RBB	WP_008804962.1;WP_012542103.1;WP_008805250.1	1 to 3	RBB	WP_011977683.1;WP_009485416.1;WP_002904407.1	1 to 2	RBB	NP_416045.1;NP_416174.1	1 to 6	RBB	WP_004222765.1;WP_004224203.1;WP_014599134.1;WP_004898480.1;WP_002907773.1;WP_014599288.1	1 to 3	RBB	WP_012737432.1;WP_041937779.1;WP_002904407.1	1 to 3	RBB	YP_005225250;YP_005226369;YP_005226851
397671978	RVBD_0192	WP_003916225.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671980	RVBD_0193A	YP_006513515	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671979	RVBD_0193c	WP_003916226.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671981	RVBD_0194	WP_003911097.1	ATP-binding cassette, subfamily C	0	N/A		1 to 1	RBB	WP_008805411.1	0	N/A		1 to 1	RBB	NP_414982.1	0	N/A		1 to 1	RBB	WP_041937787.1	0	N/A	
397671982	RVBD_0195	WP_003901824.1	two component system transcriptional regulator, luxR-family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671983	RVBD_0196	WP_003401168.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671984	RVBD_0197	WP_003913548.1	nitrate reductase catalytic subunit	0	N/A		0	N/A		1 to 1	RBB	WP_015958612.1	0	N/A		0	N/A		0	N/A		0	N/A	
397671985	RVBD_0198c	WP_003401172.1	endopeptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671986	RVBD_0199	WP_003401181.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671987	RVBD_0200	WP_003401184.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671988	RVBD_0201c	WP_003401187.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671989	RVBD_0202c	WP_003401190.1	transmembrane transporter mmpL11	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671990	RVBD_0203	WP_003401194.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671991	RVBD_0204c	WP_003901825.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671992	RVBD_0205	WP_003899854.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671993	RVBD_0206c	WP_003899855.1	transmembrane transporter mmpL3	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671994	RVBD_0207c	WP_003401202.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671995	RVBD_0208c	WP_003401204.1	tRNA (guanine-N(7)-)-methyltransferase	1 to 1	RBB	WP_002916627.1	1 to 1	RBB	WP_004205192.1	1 to 1	RBB	WP_002916627.1	1 to 1	RBB	NP_417435.1	1 to 1	RBB	WP_002916627.1	1 to 1	RBB	WP_002916627.1	1 to 1	RBB	YP_005228762
397671996	RVBD_0209	WP_003907228.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671997	RVBD_0210	WP_003899858.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671998	RVBD_0211	WP_003401212.1	phosphoenolpyruvate carboxykinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671999	RVBD_0212c	WP_003401213.1	nicotinamide-nucleotide adenylyltransferase	1 to 1	RBB	WP_002887802.1	1 to 1	RBB	WP_002887802.1	1 to 1	RBB	WP_002887802.1	1 to 1	RBB	NP_418807.4	1 to 1	RBB	WP_002887802.1	1 to 1	RBB	WP_002887802.1	1 to 1	RBB	YP_005224998
397672000	RVBD_0213c	WP_003899860.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672001	RVBD_0214	WP_003911098.1	long chain acyl-CoA synthetase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672002	RVBD_0215c	YP_006513537	acyl-CoA dehydrogenase fadE3	0	N/A		5 to 1	RBB	WP_012542794.1	7 to 1	RBB	WP_002889690.1	4 to 1	RBB	NP_416210.4	6 to 1	RBB	WP_002889690.1	6 to 1	RBB	WP_002889690.1	7 to 1	RBB	YP_005225261
397672003	RVBD_0216	WP_003401224.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672004	RVBD_0217c	WP_003900831.1	esterase/lipase	0	N/A		0	N/A		0	N/A		4 to 1	RBB	NP_415009.1	0	N/A		0	N/A		0	N/A	
397672005	RVBD_0218	WP_003911099.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672006	RVBD_0219	WP_003401230.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672007	RVBD_0220	WP_031647051.1	esterase/lipase	1 to 4	SSD	YP_006636206	4 to 1	RBB	WP_012540454.1	0	N/A		0	N/A		0	N/A		4 to 1	RBB	WP_041937811.1	4 to 1	RBB	YP_005227082
397672008	RVBD_0221	WP_003900834.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672009	RVBD_0222	WP_003899864.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672010	RVBD_0223c	WP_003899865.1	aldehyde dehydrogenase	0	N/A		0	N/A		1 to 2	SSD	WP_012068533.1;WP_004151779.1	2 to 2	RBB	NP_414846.1;NP_417147.1	0	N/A		0	N/A		1 to 2	SSD	YP_005226185;YP_005228727
397672011	RVBD_0224c	WP_003401240.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672012	RVBD_0225	WP_003401246.1	glycosyl transferase family protein	0	N/A		0	N/A		1 to 1	RBB	WP_041937600.1	2 to 1	RBB	NP_416548.1	0	N/A		0	N/A		0	N/A	
397672013	RVBD_0226c	WP_003401250.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672014	RVBD_0227c	WP_016719572.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672015	RVBD_0228	WP_003911132.1	membrane acyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672017	RVBD_0229Ac	WP_003911072.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672016	RVBD_0229c	WP_003911071.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672018	RVBD_0230c	WP_003900835.1	phosphotriesterase	1 to 1	RBB	WP_004176149.1	1 to 1	RBB	WP_012541711.1	1 to 1	RBB	WP_004176149.1	1 to 1	RBB	NP_417838.1	1 to 1	RBB	WP_004176149.1	1 to 1	RBB	WP_004176149.1	1 to 1	RBB	YP_005226979
397672019	RVBD_0231	WP_003401265.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672020	RVBD_0232	WP_003401268.1	TetR/AcrR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672021	RVBD_0233	WP_003911100.1	R2-like ligand binding oxidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672022	RVBD_0234c	WP_003912534.1	succinate-semialdehyde dehydrogenase [NADP+] 1	1 to 1	SSD	WP_032408739.1	1 to 1	RBB	WP_008804950.1	1 to 1	SSD	WP_032410828.1	1 to 1	RBB	NP_416042.2	1 to 1	RBB	WP_004224726.1	1 to 1	RBB	WP_032408739.1	1 to 1	SSD	YP_005226865
397672023	RVBD_0235c	WP_003401279.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672025	RVBD_0236A	WP_003401289.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672024	RVBD_0236c	WP_031648576.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672026	RVBD_0237	WP_003401295.1	beta-glucosidase	1 to 1	SSD	WP_015874636.1	1 to 1	SSD	WP_012542235.1	1 to 1	RBB	WP_004179329.1	1 to 1	RBB	NP_415625.1	1 to 1	RBB	WP_004179329.1	1 to 1	SSD	WP_015874636.1	1 to 1	RBB	YP_005226283
397672027	RVBD_0238	WP_003401297.1	TetR family transcriptional regulator	1 to 1	RBB	WP_004185881.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_004900945.1	1 to 1	RBB	WP_004185881.1	0	N/A	
397672028	RVBD_0239	WP_003401300.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672029	RVBD_0240	WP_003900837.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672030	RVBD_0241c	WP_003401305.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672031	RVBD_0242c	WP_003899869.1	3-oxoacyl-ACP reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
