Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession
16128084	b0091	NP_414633.1	UDP-N-acetylmuramate:L-alanine ligase	1 to 1	SSD	YP_005225112	1 to 1	SSD	WP_004145947.1	1 to 1	RBB	WP_003411159.1	1 to 1	SSD	WP_004145947.1	1 to 1	SSD	WP_004145947.1	1 to 1	SSD	WP_008807431.1	1 to 1	SSD	WP_004192000.1
16128085	b0092	NP_414634.1	D-alanine:D-alanine ligase	1 to 1	SSD	YP_005225113	1 to 1	SSD	WP_002888623.1	0	N/A		1 to 1	SSD	WP_014908014.1	1 to 1	SSD	WP_004894249.1	1 to 1	SSD	WP_012542854.1	1 to 1	SSD	WP_004191999.1
16128086	b0093	NP_414635.1	Divisome assembly protein, membrane anchored protein involved in growth of wall at septum	1 to 1	SSD	YP_005225114	1 to 1	SSD	WP_002888624.1	0	N/A		1 to 1	SSD	WP_002888624.1	1 to 1	SSD	WP_002888624.1	1 to 1	SSD	WP_008807429.1	1 to 1	SSD	WP_002888624.1
16128087	b0094	NP_414636.1	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	1 to 1	SSD	YP_005225115	1 to 1	SSD	WP_002888625.1	0	N/A		1 to 1	SSD	WP_002888625.1	1 to 1	SSD	WP_002888625.1	1 to 1	SSD	WP_004204343.1	1 to 1	SSD	WP_002888625.1
16128088	b0095	NP_414637.1	GTP-binding tubulin-like cell division protein	1 to 1	SSD	YP_005225116	1 to 1	SSD	WP_002888628.1	1 to 1	RBB	WP_003411144.1	1 to 1	SSD	WP_002888628.1	1 to 1	SSD	WP_002888628.1	1 to 1	SSD	WP_002888628.1	1 to 1	SSD	WP_002888628.1
16128089	b0096	NP_414638.1	UDP-3-O-acyl N-acetylglucosamine deacetylase	1 to 1	SSD	YP_005225118	1 to 1	SSD	WP_002888632.1	0	N/A		1 to 1	SSD	WP_002888632.1	1 to 1	SSD	WP_002888632.1	1 to 1	SSD	WP_012542853.1	1 to 1	SSD	WP_002888632.1
90111085	b0097	NP_414639.2	regulator of secA translation	1 to 1	SSD	YP_005225119	1 to 1	SSD	WP_004152922.1	0	N/A		1 to 1	SSD	WP_004152922.1	1 to 1	SSD	WP_004152922.1	1 to 1	SSD	WP_008807428.1	1 to 1	SSD	WP_004152922.1
16128091	b0098	NP_414640.1	preprotein translocase subunit, ATPase	1 to 1	SSD	YP_005225120	1 to 1	SSD	WP_002888638.1	1 to 1	RBB	WP_003901576.1	1 to 1	SSD	WP_002888638.1	1 to 1	SSD	WP_002888638.1	1 to 1	SSD	WP_012542851.1	1 to 1	SSD	WP_002888638.1
16128092	b0099	NP_414641.1	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	1 to 1	SSD	YP_005225121	1 to 1	SSD	WP_004145942.1	0	N/A		1 to 1	SSD	WP_004145942.1	1 to 1	SSD	WP_004145942.1	1 to 1	SSD	WP_012542850.1	1 to 1	SSD	WP_004145942.1
16128094	b0101	NP_414643.1	DNA gyrase inhibitor	1 to 1	SSD	YP_005225122	1 to 1	SSD	WP_002888644.1	0	N/A		1 to 1	SSD	WP_002888644.1	1 to 1	SSD	WP_002888644.1	1 to 1	Borderline-SSD	WP_008807425.1	1 to 1	SSD	WP_002888644.1
16128095	b0102	NP_414644.1	conserved protein	1 to 1	SSD	YP_005225123	1 to 1	SSD	WP_002888645.1	0	N/A		1 to 1	SSD	WP_004178596.1	1 to 1	SSD	WP_004178596.1	1 to 1	SSD	WP_008807424.1	1 to 1	SSD	WP_002888645.1
16128096	b0103	NP_414645.1	dephospho-CoA kinase	1 to 1	SSD	YP_005225124	1 to 1	SSD	WP_004222669.1	1 to 1	RBB	WP_003408069.1	1 to 1	SSD	WP_002888649.1	1 to 1	SSD	WP_002888649.1	1 to 1	SSD	WP_008807423.1	1 to 1	SSD	WP_002888649.1
16128097	b0104	NP_414646.1	GMP reductase	1 to 1	SSD	YP_005225126	1 to 1	SSD	WP_004145938.1	0	N/A		1 to 1	SSD	WP_004145938.1	1 to 1	SSD	WP_004145938.1	1 to 1	SSD	WP_012542849.1	1 to 1	SSD	WP_004145938.1
16128099	b0106	NP_414648.1	assembly protein in type IV pilin biogenesis, transmembrane protein	1 to 1	SSD	YP_005225127	1 to 1	SSD	WP_004222670.1	0	N/A		1 to 1	SSD	WP_004182933.1	1 to 1	SSD	WP_004182933.1	1 to 1	SSD	WP_012542848.1	1 to 1	SSD	WP_011977654.1
16128100	b0107	NP_414649.1	conserved protein with nucleoside triphosphate hydrolase domain	1 to 1	SSD	YP_005225128	1 to 1	SSD	WP_004145935.1	0	N/A		1 to 1	SSD	WP_004145935.1	1 to 1	SSD	WP_004145935.1	1 to 1	SSD	WP_012542847.1	1 to 1	SSD	WP_004145935.1
16128101	b0108	NP_414650.1	predicted major pilin subunit	1 to 1	SSD	YP_005225129	1 to 1	SSD	WP_002888683.1	0	N/A		1 to 1	SSD	WP_002888683.1	1 to 1	SSD	WP_002888683.1	1 to 1	SSD	WP_002888683.1	1 to 1	SSD	WP_002888683.1
16128102	b0109	NP_414651.1	quinolinate phosphoribosyltransferase	1 to 1	SSD	YP_005225130	1 to 1	SSD	WP_002888684.1	1 to 1	RBB	WP_003898939.1	1 to 1	SSD	WP_002888684.1	1 to 1	SSD	WP_002888684.1	1 to 1	SSD	WP_002888684.1	1 to 1	SSD	WP_002888684.1
16128103	b0110	NP_414652.1	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	1 to 1	RBB	YP_005225131	1 to 1	RBB	WP_002888692.1	0	N/A		1 to 1	RBB	WP_002888692.1	1 to 1	RBB	WP_002888692.1	1 to 1	RBB	WP_008807417.1	1 to 1	RBB	WP_011977655.1
16128104	b0111	NP_414653.1	predicted inner membrane protein	1 to 1	SSD	YP_005225132	1 to 1	SSD	WP_002888694.1	0	N/A		1 to 1	SSD	WP_004177406.1	1 to 1	SSD	WP_004177406.1	1 to 1	SSD	WP_012542846.1	1 to 1	SSD	WP_004177406.1
16128105	b0112	NP_414654.1	aromatic amino acid transporter	1 to 1	SSD	YP_005225135	1 to 1	SSD	WP_004147090.1	0	N/A		1 to 1	SSD	WP_004147090.1	1 to 1	SSD	WP_004147090.1	1 to 1	SSD	WP_008807413.1	1 to 1	SSD	WP_004147090.1
16128106	b0113	NP_414655.1	DNA-binding transcriptional dual regulator	1 to 1	SSD	YP_005225137	1 to 1	SSD	WP_002888699.1	1 to 5	RBB	WP_003898483.1	1 to 1	SSD	WP_002888699.1	1 to 1	SSD	WP_002888699.1	1 to 1	SSD	WP_002888699.1	1 to 1	SSD	WP_002888699.1
16128107	b0114	NP_414656.1	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	1 to 1	SSD	YP_005225138	1 to 1	SSD	WP_002888700.1	1 to 1	RBB	WP_003911788.1	1 to 1	SSD	WP_002888700.1	1 to 1	SSD	WP_002888700.1	1 to 1	SSD	WP_008807412.1	1 to 1	SSD	WP_002888700.1
16128108	b0115	NP_414657.1	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	1 to 1	SSD	YP_005225139	1 to 1	Borderline-SSD	WP_004147092.1	0	N/A		1 to 1	Borderline-SSD	WP_004147092.1	1 to 1	SSD	WP_004147092.1	1 to 1	Borderline-SSD	WP_012542843.1	1 to 1	SSD	WP_004178598.1
16128109	b0116	NP_414658.1	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	1 to 1	SSD	YP_005225140	1 to 1	SSD	WP_002888731.1	1 to 1	RBB	WP_003402301.1	1 to 1	SSD	WP_002888731.1	1 to 1	SSD	WP_002888731.1	1 to 1	SSD	WP_002888731.1	1 to 1	SSD	WP_002888731.1
16128110	b0117	NP_414659.1	predicted protein	1 to 1	SSD	YP_005225143	1 to 1	SSD	WP_004222675.1	0	N/A		1 to 1	SSD	WP_012737404.1	1 to 1	SSD	WP_012737404.1	1 to 1	SSD	WP_012542841.1	1 to 1	SSD	WP_011977659.1
16128111	b0118	NP_414660.1	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	1 to 1	SSD	YP_005225145	1 to 1	SSD	WP_002888735.1	0	N/A		1 to 1	SSD	WP_002888735.1	1 to 1	SSD	WP_002888735.1	1 to 1	SSD	WP_032701153.1	1 to 1	SSD	WP_002888735.1
90111086	b0119	NP_414661.2	conserved protein	1 to 1	SSD	YP_005225146	1 to 1	SSD	WP_002888737.1	0	N/A		1 to 1	SSD	WP_002888737.1	1 to 1	SSD	WP_002888737.1	1 to 1	SSD	WP_004204373.1	1 to 1	SSD	WP_002888737.1
16128113	b0120	NP_414662.1	S-adenosylmethionine decarboxylase	1 to 1	SSD	YP_005225147	1 to 1	SSD	WP_002888739.1	0	N/A		1 to 1	SSD	WP_002888739.1	1 to 1	SSD	WP_002888739.1	1 to 1	SSD	WP_008807406.1	1 to 1	SSD	WP_002888739.1
16128114	b0121	NP_414663.1	spermidine synthase (putrescine aminopropyltransferase)	1 to 1	SSD	YP_005225148	1 to 1	SSD	WP_004222677.1	1 to 1	RBB	WP_003899392.1	1 to 1	SSD	WP_012737405.1	1 to 1	SSD	WP_012737405.1	1 to 1	SSD	WP_008807405.1	1 to 1	SSD	WP_002888741.1
90111087	b0122	NP_414664.4	conserved protein, PulS_OutS family	1 to 1	SSD	YP_005225156	1 to 1	SSD	WP_002888808.1	0	N/A		1 to 1	SSD	WP_002888808.1	1 to 1	SSD	WP_002888808.1	1 to 1	SSD	WP_004145916.1	1 to 1	SSD	WP_002888808.1
16128116	b0123	NP_414665.1	multicopper oxidase (laccase)	1 to 1	SSD	YP_005225157	1 to 1	SSD	WP_004222681.1	1 to 1	RBB	WP_003404392.1	1 to 1	SSD	WP_004177397.1	1 to 1	SSD	WP_004177397.1	1 to 1	SSD	WP_012542837.1	1 to 1	SSD	WP_004177397.1
16128117	b0124	NP_414666.1	glucose dehydrogenase	1 to 1	SSD	YP_005225158	1 to 1	SSD	WP_002888816.1	0	N/A		1 to 1	SSD	WP_002888816.1	1 to 1	SSD	WP_002888816.1	1 to 1	SSD	WP_012542836.1	1 to 1	SSD	WP_002888816.1
90111088	b0125	NP_414667.4	hypoxanthine phosphoribosyltransferase	1 to 1	SSD	YP_005225160	1 to 1	SSD	WP_002888819.1	1 to 1	RBB	WP_003912454.1	1 to 1	SSD	WP_002888819.1	1 to 1	SSD	WP_002888819.1	1 to 1	SSD	WP_004204384.1	1 to 1	SSD	WP_002888819.1
16128119	b0126	NP_414668.1	carbonic anhydrase	1 to 1	SSD	YP_005225161	1 to 1	SSD	WP_002888821.1	1 to 1	RBB	WP_003419492.1	1 to 1	SSD	WP_002888821.1	1 to 1	SSD	WP_002888821.1	1 to 1	SSD	WP_012542834.1	1 to 1	SSD	WP_002888821.1
16128120	b0127	NP_414669.1	predicted transporter subunit: ATP-binding component of ABC superfamily	1 to 1	SSD	YP_005225162	1 to 1	SSD	WP_002888823.1	0	N/A		1 to 1	SSD	WP_002888823.1	1 to 1	SSD	WP_002888823.1	1 to 1	SSD	WP_008807399.1	1 to 1	SSD	WP_002888823.1
16128121	b0128	NP_414670.1	predicted transporter subunit: membrane component of ABC superfamily	1 to 1	SSD	YP_005225163	1 to 1	SSD	WP_002888827.1	0	N/A		1 to 1	SSD	WP_002888827.1	1 to 1	SSD	WP_002888827.1	1 to 1	SSD	WP_008807398.1	1 to 1	SSD	WP_002888827.1
16128122	b0129	NP_414671.1	predicted PTS Enzyme IIA	1 to 1	SSD	YP_005225164	1 to 1	SSD	WP_004177394.1	0	N/A		1 to 1	SSD	WP_004177394.1	1 to 1	SSD	WP_004177394.1	1 to 1	SSD	WP_008807397.1	1 to 1	SSD	WP_004177394.1
16128123	b0130	NP_414672.1	predicted polysaccharide deacetylase lipoprotein	1 to 1	SSD	YP_005225165	1 to 1	SSD	WP_004222684.1	0	N/A		1 to 1	SSD	WP_004145907.1	1 to 1	SSD	WP_004145907.1	1 to 1	SSD	WP_012542833.1	1 to 1	SSD	WP_011977665.1
16128124	b0131	NP_414673.1	aspartate 1-decarboxylase	1 to 1	SSD	YP_005225166	1 to 1	SSD	WP_002888834.1	1 to 1	RBB	WP_003419523.1	1 to 1	SSD	WP_002888834.1	1 to 1	SSD	WP_002888834.1	1 to 1	SSD	WP_004204397.1	1 to 1	SSD	WP_002888834.1
16128125	b0132	NP_414674.1	predicted transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128126	b0133	NP_414675.1	pantothenate synthetase	1 to 1	SSD	YP_005225167	1 to 1	SSD	WP_004222687.1	1 to 1	RBB	WP_003419526.1	1 to 1	SSD	WP_002888835.1	1 to 1	SSD	WP_002888835.1	1 to 1	SSD	WP_008807394.1	1 to 1	SSD	WP_002888835.1
16128127	b0134	NP_414676.1	3-methyl-2-oxobutanoate hydroxymethyltransferase	1 to 1	SSD	YP_005225168	1 to 1	SSD	WP_002888841.1	1 to 1	RBB	WP_003411489.1	1 to 1	SSD	WP_002888841.1	1 to 1	SSD	WP_002888841.1	1 to 1	SSD	WP_012542832.1	1 to 1	SSD	WP_002888841.1
16128128	b0135	NP_414677.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128129	b0136	NP_414678.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128130	b0137	NP_414679.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111089	b0138	NP_414680.4	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128132	b0139	NP_414681.1	predicted outer membrane usher protein	1 to 1	RBB	YP_005228645	1 to 1	RBB	WP_000813718.1	0	N/A		1 to 1	RBB	WP_000813718.1	1 to 1	RBB	WP_000813718.1	1 to 1	RBB	WP_008806367.1	1 to 1	RBB	WP_000813718.1
16128133	b0140	NP_414682.1	predicted periplasmic pilin chaperone	1 to 1	RBB	YP_005228646	1 to 1	RBB	WP_014599251.1	0	N/A		1 to 1	RBB	WP_000820818.1	1 to 1	RBB	WP_000820818.1	1 to 1	RBB	WP_012967265.1	1 to 1	RBB	WP_000820818.1
16128134	b0141	NP_414683.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128135	b0142	NP_414684.1	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	1 to 1	SSD	YP_005225169	1 to 1	SSD	WP_004178602.1	1 to 1	RBB	WP_003419536.1	1 to 1	SSD	WP_012737407.1	1 to 1	SSD	WP_012737407.1	1 to 1	SSD	WP_012542831.1	1 to 1	SSD	WP_004178602.1
162135892	b0143	NP_414685.4	poly(A) polymerase I	1 to 1	SSD	YP_005225170	1 to 1	SSD	WP_004178603.1	0	N/A		1 to 1	SSD	WP_004178603.1	1 to 1	SSD	WP_004178603.1	1 to 1	SSD	WP_008807391.1	1 to 1	SSD	WP_004178603.1
226524698	b0144	NP_414686.3	glutamyl-Q tRNA(Asp) synthetase	1 to 1	SSD	YP_005225171	1 to 1	SSD	WP_004222690.1	0	N/A		1 to 1	SSD	WP_012737408.1	1 to 1	SSD	WP_012737408.1	1 to 1	SSD	WP_012542830.1	1 to 1	SSD	WP_011977666.1
16128138	b0145	NP_414687.1	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	1 to 1	SSD	YP_005225172	1 to 1	SSD	WP_002888845.1	0	N/A		1 to 1	SSD	WP_002888845.1	1 to 1	SSD	WP_002888845.1	1 to 1	SSD	WP_007749299.1	1 to 1	SSD	WP_002888845.1
16128139	b0146	NP_414688.1	predicted DNA-binding transcriptional regulator	1 to 1	SSD	YP_005225173	1 to 1	SSD	WP_002888848.1	0	N/A		1 to 1	SSD	WP_002888848.1	1 to 1	SSD	WP_002888848.1	1 to 1	SSD	WP_012542829.1	1 to 1	SSD	WP_002888848.1
90111091	b0147	NP_414689.4	2'-5' RNA ligase	1 to 1	SSD	YP_005225174	1 to 1	SSD	WP_004177389.1	0	N/A		1 to 1	SSD	WP_004145901.1	1 to 1	SSD	WP_004145901.1	1 to 1	SSD	WP_008807387.1	1 to 1	SSD	WP_004177389.1
162135893	b0148	NP_414690.4	predicted ATP-dependent helicase	1 to 1	SSD	YP_005225175	1 to 1	SSD	WP_004222692.1	0	N/A		1 to 1	SSD	WP_012737409.1	1 to 1	SSD	WP_012737409.1	1 to 1	SSD	WP_012542828.1	1 to 1	SSD	WP_011977667.1
16128142	b0149	NP_414691.1	fused glycosyl transferase and transpeptidase	1 to 1	SSD	YP_005225197	1 to 1	SSD	WP_004213431.1	1 to 1	RBB	WP_003400507.1	1 to 1	SSD	WP_002889208.1	1 to 1	SSD	WP_002889208.1	1 to 1	SSD	WP_012542817.1	1 to 1	SSD	WP_011977673.1
16128143	b0150	NP_414692.1	ferrichrome outer membrane transporter	1 to 1	Non-SSD	YP_005225199	1 to 1	Borderline-SSD	WP_004178624.1	0	N/A		1 to 1	Non-SSD	WP_004178624.1	1 to 1	Borderline-SSD	WP_004178624.1	1 to 1	Borderline-SSD	WP_012542816.1	1 to 1	Borderline-SSD	WP_004178624.1
16128144	b0151	NP_414693.1	iron-hydroxamate transporter subunit	1 to 1	SSD	YP_005225200	1 to 1	SSD	WP_002889212.1	0	N/A		1 to 1	SSD	WP_012737422.1	1 to 1	SSD	WP_012737422.1	1 to 1	SSD	WP_012542815.1	1 to 1	SSD	WP_002889212.1
16128145	b0152	NP_414694.1	iron-hydroxamate transporter subunit	1 to 1	SSD	YP_005225201	1 to 1	SSD	WP_004222716.1	0	N/A		1 to 1	SSD	WP_014908006.1	1 to 1	SSD	WP_014908006.1	0	N/A		1 to 1	SSD	WP_004147133.1
16128146	b0153	NP_414695.1	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	1 to 1	SSD	YP_005225202	1 to 1	SSD	WP_004222718.1	0	N/A		1 to 1	SSD	WP_004147134.1	1 to 1	SSD	WP_004147134.1	1 to 1	SSD	WP_012542814.1	1 to 1	SSD	WP_011977674.1
16128147	b0154	NP_414696.1	glutamate-1-semialdehyde aminotransferase (aminomutase)	1 to 1	SSD	YP_005225203	1 to 1	SSD	WP_002889272.1	1 to 1	RBB	WP_003402844.1	1 to 1	SSD	WP_012737424.1	1 to 1	SSD	WP_012737424.1	1 to 1	SSD	WP_012542813.1	1 to 1	SSD	WP_002889272.1
16128148	b0155	NP_414697.1	chloride channel, voltage-gated	1 to 1	Non-SSD	YP_005225204	1 to 1	Borderline-SSD	WP_004191940.1	0	N/A		1 to 1	Non-SSD	WP_004151932.1	1 to 1	Borderline-SSD	WP_004151932.1	1 to 1	Non-SSD	WP_012542812.1	1 to 1	Borderline-SSD	WP_004151932.1
16128149	b0156	NP_414698.1	iron-sulfur cluster insertion protein	1 to 1	SSD	YP_005225205	1 to 1	SSD	WP_002889275.1	1 to 1	RBB	WP_003411418.1	1 to 1	SSD	WP_002889275.1	1 to 1	SSD	WP_002889275.1	1 to 1	SSD	WP_008807363.1	1 to 1	SSD	WP_002889275.1
16128150	b0157	NP_414699.1	inner membrane protein, UPF0126 family	1 to 1	SSD	YP_005225206	1 to 1	SSD	WP_002889277.1	0	N/A		1 to 1	SSD	WP_002889277.1	1 to 1	SSD	WP_002889277.1	1 to 1	SSD	WP_002889277.1	1 to 1	SSD	WP_002889277.1
16128151	b0158	NP_414700.1	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	1 to 1	SSD	YP_005225207	1 to 1	SSD	WP_004222722.1	0	N/A		1 to 1	SSD	WP_002889279.1	1 to 1	SSD	WP_002889279.1	1 to 1	SSD	WP_012542811.1	1 to 1	SSD	WP_002889279.1
16128152	b0159	NP_414701.1	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	1 to 1	SSD	YP_005225208	1 to 1	SSD	WP_002889282.1	1 to 1	RBB	WP_003913086.1	1 to 1	SSD	WP_002889282.1	1 to 1	SSD	WP_002889282.1	1 to 1	SSD	WP_008807361.1	1 to 1	SSD	WP_002889282.1
16128153	b0160	NP_414702.1	deoxyguanosine triphosphate triphosphohydrolase	1 to 1	SSD	YP_005225209	1 to 1	SSD	WP_004222730.1	1 to 1	RBB	WP_003899281.1	1 to 1	SSD	WP_004145871.1	1 to 1	SSD	WP_004145871.1	1 to 1	SSD	WP_008807360.1	1 to 1	SSD	WP_004145871.1
16128154	b0161	NP_414703.1	serine endoprotease (protease Do), membrane-associated	1 to 1	SSD	YP_005225210	1 to 1	SSD	WP_004177363.1	1 to 3	RBB	WP_003911452.1	1 to 1	SSD	WP_011977675.1	1 to 1	SSD	WP_011977675.1	1 to 1	SSD	WP_008807359.1	1 to 1	SSD	WP_011977675.1
90111093	b0162	NP_414704.4	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator	1 to 1	SSD	YP_005225211	1 to 1	SSD	WP_002889289.1	1 to 1	RBB	WP_003407376.1	1 to 1	SSD	WP_002889289.1	1 to 1	SSD	WP_002889289.1	1 to 1	SSD	WP_002889289.1	1 to 1	SSD	WP_002889289.1
16128156	b0163	NP_414705.1	conserved protein, UPF0325 family	1 to 1	SSD	YP_005225212	1 to 1	SSD	WP_002889292.1	0	N/A		1 to 1	SSD	WP_002889292.1	1 to 1	SSD	WP_002889292.1	1 to 1	SSD	WP_002889292.1	1 to 1	SSD	WP_002889292.1
90111094	b0164	NP_414706.2	phosphodiesterase with model substrate bis-pNPP	0	N/A		0	N/A		1 to 1	RBB	WP_003899637.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128159	b0166	NP_414708.1	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	1 to 1	Borderline-SSD	YP_005225213	1 to 1	Borderline-SSD	WP_002889295.1	0	N/A		1 to 1	Borderline-SSD	WP_002889295.1	1 to 1	SSD	WP_002889295.1	1 to 1	Borderline-SSD	WP_002889295.1	1 to 1	Borderline-SSD	WP_002889295.1
16128160	b0167	NP_414709.1	uridylyltransferase	1 to 1	SSD	YP_005225214	1 to 1	SSD	WP_004151931.1	1 to 1	RBB	WP_003899539.1	1 to 1	SSD	WP_004151931.1	1 to 1	SSD	WP_004151931.1	1 to 1	SSD	WP_012542810.1	1 to 1	SSD	WP_004191934.1
16128161	b0168	NP_414710.1	methionine aminopeptidase	1 to 1	SSD	YP_005225215	1 to 1	SSD	WP_002889297.1	1 to 1	RBB	WP_003899513.1	1 to 1	SSD	WP_002889297.1	1 to 1	SSD	WP_002889297.1	1 to 1	SSD	WP_004204446.1	1 to 1	SSD	WP_011977676.1
16128162	b0169	NP_414711.1	30S ribosomal subunit protein S2	1 to 1	SSD	YP_005225216	1 to 1	SSD	WP_002889299.1	1 to 1	RBB	WP_003899528.1	1 to 1	SSD	WP_002889299.1	1 to 1	SSD	WP_002889299.1	1 to 1	SSD	WP_008807356.1	1 to 1	SSD	WP_002889299.1
16128163	b0170	NP_414712.1	protein chain elongation factor EF-Ts	1 to 1	SSD	YP_005225217	1 to 1	SSD	WP_004151930.1	1 to 1	RBB	WP_003899527.1	1 to 1	SSD	WP_004151930.1	1 to 1	SSD	WP_004151930.1	1 to 1	SSD	WP_004151930.1	1 to 1	SSD	WP_004151930.1
16128164	b0171	NP_414713.1	uridylate kinase	1 to 1	SSD	YP_005225218	1 to 1	SSD	WP_002889306.1	1 to 1	RBB	WP_003414665.1	1 to 1	SSD	WP_002889306.1	1 to 1	SSD	WP_002889306.1	1 to 1	SSD	WP_004098747.1	1 to 1	SSD	WP_002889306.1
16128165	b0172	NP_414714.1	ribosome recycling factor	1 to 1	SSD	YP_005225219	1 to 1	SSD	WP_002889308.1	1 to 1	RBB	WP_003414663.1	1 to 1	SSD	WP_002889308.1	1 to 1	SSD	WP_002889308.1	1 to 1	SSD	WP_002889308.1	1 to 1	SSD	WP_002889308.1
16128166	b0173	NP_414715.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1 to 1	SSD	YP_005225220	1 to 1	SSD	WP_004178642.1	1 to 1	RBB	WP_003414613.1	1 to 1	SSD	WP_004178642.1	1 to 1	SSD	WP_004178642.1	1 to 1	SSD	WP_012542809.1	1 to 1	SSD	WP_011977678.1
16128167	b0174	NP_414716.1	undecaprenyl pyrophosphate synthase	1 to 1	SSD	YP_005225221	1 to 1	SSD	WP_002889316.1	1 to 1	RBB	WP_003412212.1	1 to 1	SSD	WP_002889316.1	1 to 1	SSD	WP_002889316.1	1 to 1	SSD	WP_012968905.1	1 to 1	SSD	WP_002889316.1
90111095	b0175	NP_414717.2	CDP-diglyceride synthase	1 to 1	SSD	YP_005225222	1 to 1	SSD	WP_002889318.1	1 to 1	RBB	WP_003414661.1	1 to 1	SSD	WP_002889318.1	1 to 1	SSD	WP_002889318.1	1 to 1	SSD	WP_008807353.1	1 to 1	SSD	WP_002889318.1
16128169	b0176	NP_414718.1	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA	1 to 1	SSD	YP_005225223	1 to 1	SSD	WP_004177358.1	1 to 1	RBB	WP_003899518.1	1 to 1	SSD	WP_004177358.1	1 to 1	SSD	WP_004177358.1	1 to 1	Borderline-SSD	WP_008807352.1	1 to 1	SSD	WP_004177358.1
16128170	b0177	NP_414719.1	outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCD OM protein complex	1 to 1	SSD	YP_005225224	1 to 1	SSD	WP_004177357.1	0	N/A		1 to 1	SSD	WP_004145860.1	1 to 1	SSD	WP_004145860.1	1 to 1	SSD	WP_012542808.1	1 to 1	SSD	WP_011977680.1
16128171	b0178	NP_414720.1	periplasmic chaperone	1 to 1	SSD	YP_005225225	1 to 1	SSD	WP_002889325.1	0	N/A		1 to 1	SSD	WP_004178645.1	1 to 1	SSD	WP_004178645.1	1 to 1	SSD	WP_002889325.1	1 to 1	SSD	WP_004178645.1
