Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession
397671972	RVBD_0186	WP_003401122.1	beta-glucosidase	1 to 1	RBB	WP_014569261.1	1 to 3	RBB	WP_005843100.1;WP_011964800.1;WP_041174403.1	0	N/A		1 to 2	RBB	WP_012741907.1;WP_012743635.1
397671973	RVBD_0187	WP_003900823.1	methyltransferase	0	N/A		2 to 1	RBB	WP_005844483.1	2 to 1	RBB	WP_012739023.1	1 to 1	RBB	WP_012742732.1
397671974	RVBD_0188	WP_003401141.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671975	RVBD_0189c	WP_003900824.1	dihydroxy-acid dehydratase	0	N/A		1 to 1	RBB	WP_005847233.1	1 to 1	RBB	WP_012739006.1	1 to 1	SSD	WP_012742718.1
397671976	RVBD_0190	WP_003401147.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	WP_012739694.1	0	N/A	
397671977	RVBD_0191	WP_003401149.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_011965152.1	0	N/A		0	N/A	
397671978	RVBD_0192	WP_003916225.1	hypothetical protein	1 to 1	RBB	WP_005686627.1	0	N/A		0	N/A		0	N/A	
397671980	RVBD_0193A	YP_006513515	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671979	RVBD_0193c	WP_003916226.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671981	RVBD_0194	WP_003911097.1	ATP-binding cassette, subfamily C	0	N/A		0	N/A		0	N/A		0	N/A	
397671982	RVBD_0195	WP_003901824.1	two component system transcriptional regulator, luxR-family	0	N/A		0	N/A		0	N/A		0	N/A	
397671983	RVBD_0196	WP_003401168.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397671984	RVBD_0197	WP_003913548.1	nitrate reductase catalytic subunit	0	N/A		0	N/A		0	N/A		0	N/A	
397671985	RVBD_0198c	WP_003401172.1	endopeptidase	1 to 2	RBB	WP_014569428.1;WP_014569656.1	1 to 1	RBB	WP_008782371.1	0	N/A		0	N/A	
397671986	RVBD_0199	WP_003401181.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671987	RVBD_0200	WP_003401184.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671988	RVBD_0201c	WP_003401187.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671989	RVBD_0202c	WP_003401190.1	transmembrane transporter mmpL11	0	N/A		0	N/A		0	N/A		0	N/A	
397671990	RVBD_0203	WP_003401194.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671991	RVBD_0204c	WP_003901825.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671992	RVBD_0205	WP_003899854.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671993	RVBD_0206c	WP_003899855.1	transmembrane transporter mmpL3	0	N/A		0	N/A		0	N/A		0	N/A	
397671994	RVBD_0207c	WP_003401202.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671995	RVBD_0208c	WP_003401204.1	tRNA (guanine-N(7)-)-methyltransferase	1 to 1	RBB	WP_005687828.1	1 to 1	RBB	WP_005845616.1	1 to 1	RBB	WP_012740253.1	1 to 1	RBB	WP_012744036.1
397671996	RVBD_0209	WP_003907228.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671997	RVBD_0210	WP_003899858.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671998	RVBD_0211	WP_003401212.1	phosphoenolpyruvate carboxykinase	0	N/A		0	N/A		0	N/A		0	N/A	
397671999	RVBD_0212c	WP_003401213.1	nicotinamide-nucleotide adenylyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672000	RVBD_0213c	WP_003899860.1	methyltransferase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012743764.1
397672001	RVBD_0214	WP_003911098.1	long chain acyl-CoA synthetase	0	N/A		0	N/A		0	N/A		0	N/A	
397672002	RVBD_0215c	YP_006513537	acyl-CoA dehydrogenase fadE3	0	N/A		8 to 1	RBB	WP_005840641.1	0	N/A		0	N/A	
397672003	RVBD_0216	WP_003401224.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672004	RVBD_0217c	WP_003900831.1	esterase/lipase	0	N/A		0	N/A		0	N/A		0	N/A	
397672005	RVBD_0218	WP_003911099.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672006	RVBD_0219	WP_003401230.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672007	RVBD_0220	WP_031647051.1	esterase/lipase	0	N/A		0	N/A		3 to 1	RBB	WP_012739011.1	4 to 1	RBB	WP_012743131.1
397672008	RVBD_0221	WP_003900834.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A	
397672009	RVBD_0222	WP_003899864.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397672010	RVBD_0223c	WP_003899865.1	aldehyde dehydrogenase	0	N/A		4 to 1	RBB	WP_011965334.1	0	N/A		0	N/A	
397672011	RVBD_0224c	WP_003401240.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672012	RVBD_0225	WP_003401246.1	glycosyl transferase family protein	1 to 5	RBB	WP_014569020.1;WP_005685154.1;WP_014569698.1;WP_005688090.1;WP_005688088.1	1 to 1	RBB	WP_008666582.1	0	N/A		1 to 1	RBB	WP_012743331.1
397672013	RVBD_0226c	WP_003401250.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672014	RVBD_0227c	WP_016719572.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672015	RVBD_0228	WP_003911132.1	membrane acyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672017	RVBD_0229Ac	WP_003911072.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672016	RVBD_0229c	WP_003911071.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672018	RVBD_0230c	WP_003900835.1	phosphotriesterase	1 to 1	RBB	WP_014569076.1	0	N/A		0	N/A		0	N/A	
397672019	RVBD_0231	WP_003401265.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397672020	RVBD_0232	WP_003401268.1	TetR/AcrR family transcriptional regulator	1 to 1	RBB	WP_005684928.1	0	N/A		0	N/A		0	N/A	
397672021	RVBD_0233	WP_003911100.1	R2-like ligand binding oxidase	0	N/A		0	N/A		0	N/A		0	N/A	
397672022	RVBD_0234c	WP_003912534.1	succinate-semialdehyde dehydrogenase [NADP+] 1	1 to 1	SSD	WP_005688087.1	0	N/A		0	N/A		0	N/A	
397672023	RVBD_0235c	WP_003401279.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672025	RVBD_0236A	WP_003401289.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672024	RVBD_0236c	WP_031648576.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672026	RVBD_0237	WP_003401295.1	beta-glucosidase	1 to 1	RBB	WP_003660077.1	1 to 1	RBB	WP_011964634.1	0	N/A		0	N/A	
397672027	RVBD_0238	WP_003401297.1	TetR family transcriptional regulator	2 to 1	RBB	WP_005704947.1	2 to 1	RBB	WP_005840108.1	0	N/A		0	N/A	
397672028	RVBD_0239	WP_003401300.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672029	RVBD_0240	WP_003900837.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672030	RVBD_0241c	WP_003401305.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672031	RVBD_0242c	WP_003899869.1	3-oxoacyl-ACP reductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672032	RVBD_0243	WP_003401309.1	acetyl-CoA C-acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672033	RVBD_0244c	WP_003401312.1	acyl-CoA dehydrogenase fadE5	0	N/A		0	N/A		0	N/A		0	N/A	
397672034	RVBD_0245	WP_003401313.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672035	RVBD_0246	WP_003401317.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672036	RVBD_0247c	WP_003401319.1	succinate dehydrogenase and fumarate reductase iron-sulfur protein	0	N/A		3 to 1	RBB	WP_005843870.1	0	N/A		0	N/A	
397672037	RVBD_0248c	WP_003401322.1	succinate dehydrogenase flavoprotein subunit	0	N/A		0	N/A		0	N/A		0	N/A	
397672038	RVBD_0249c	WP_003401324.1	succinate dehydrogenase membrane anchor subunit	0	N/A		0	N/A		0	N/A		0	N/A	
397672039	RVBD_0250c	WP_003401329.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672040	RVBD_0251c	WP_003900838.1	heat shock protein hsp	2 to 2	RBB	WP_005684114.1;WP_015765099.1	0	N/A		0	N/A		2 to 4	RBB	WP_012743611.1;YP_002939211;WP_012744109.1;WP_012744136.1
397672041	RVBD_0252	WP_031647055.1	nitrite reductase [NAD(P)H], large subunit	0	N/A		3 to 1	RBB	WP_011965598.1	1 to 1	RBB	WP_022098036.1	1 to 1	RBB	WP_012741767.1
397672042	RVBD_0253	WP_003401341.1	nitrite reductase [NAD(P)H], small subunit	0	N/A		0	N/A		0	N/A		0	N/A	
397672043	RVBD_0254c	WP_003899876.1	adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	0	N/A		1 to 1	RBB	WP_012055563.1	0	N/A		0	N/A	
397672044	RVBD_0255c	WP_003899877.1	cobyric acid synthase	0	N/A		1 to 1	RBB	WP_012055547.1	0	N/A		1 to 1	SSD	WP_012742767.1
397672045	RVBD_0256c	WP_003401347.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672046	RVBD_0257	WP_003906316.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672047	RVBD_0258c	WP_003401352.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672048	RVBD_0259c	WP_003916613.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672049	RVBD_0260c	WP_003401357.1	uroporphyrinogen-III synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397672050	RVBD_0261c	WP_003401360.1	MFS transporter, NNP family, nitrate/nitrite transporter	0	N/A		0	N/A		0	N/A		0	N/A	
397672051	RVBD_0262c	WP_003899880.1	aminoglycoside 2'-N-acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672052	RVBD_0263c	WP_003401367.1	allophanate hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
397672053	RVBD_0264c	WP_003900840.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672054	RVBD_0265c	WP_003401373.1	iron complex transporter substrate-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672055	RVBD_0266c	WP_003899883.1	5-oxoprolinase	1 to 1	RBB	WP_014569890.1	0	N/A		0	N/A		0	N/A	
397672056	RVBD_0267	WP_003401380.1	nitrite transporter	0	N/A		0	N/A		0	N/A		0	N/A	
397672057	RVBD_0268c	WP_003401383.1	prevent-host-death family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672058	RVBD_0269c	WP_003401386.1	DNA polymerase LigD, polymerase domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672059	RVBD_0270	WP_003899884.1	fatty-acyl-CoA synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397672060	RVBD_0271c	WP_003401392.1	acyl-CoA dehydrogenase fadE6	0	N/A		0	N/A		0	N/A		0	N/A	
397672061	RVBD_0272c	WP_003401394.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672062	RVBD_0273c	WP_003911139.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397672063	RVBD_0274	WP_003401399.1	glyoxalase/bleomycin resistance protein/dioxygenase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012743664.1
397672064	RVBD_0275c	WP_016721211.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397672065	RVBD_0276	WP_003401404.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672067	RVBD_0277Ac	WP_003900884.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672066	RVBD_0277c	WP_003401406.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672068	RVBD_0278c	WP_011961608.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672070	RVBD_0279A	YP_006513605	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672069	RVBD_0279c	WP_014848096.1	WAG22 antigen	0	N/A		0	N/A		0	N/A		0	N/A	
397672071	RVBD_0280	WP_010886073.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672072	RVBD_0281	WP_003401448.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672073	RVBD_0282	WP_003911145.1	ESX-3 secretion system protein EccA3	0	N/A		0	N/A		4 to 1	RBB	WP_012738622.1	0	N/A	
397672074	RVBD_0283	WP_003401472.1	ESX-3 secretion system protein eccB3	0	N/A		0	N/A		0	N/A		0	N/A	
397672075	RVBD_0284	WP_003916637.1	ESX-3 secretion system protein eccC3	0	N/A		0	N/A		0	N/A		5 to 1	RBB	WP_041254435.1
397672076	RVBD_0285	WP_003401485.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672077	RVBD_0286	WP_003401488.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672078	RVBD_0287	WP_003401503.1	esat-6 like protein EsxG	0	N/A		0	N/A		0	N/A		0	N/A	
397672079	RVBD_0288	WP_003401514.1	ESAT-6-like protein esxH	0	N/A		0	N/A		0	N/A		0	N/A	
397672080	RVBD_0289	WP_003401521.1	ESX-3 secretion-associated protein EspG3	0	N/A		0	N/A		0	N/A		0	N/A	
397672081	RVBD_0290	WP_003912574.1	ESX-3 secretion system protein eccD3	0	N/A		0	N/A		0	N/A		0	N/A	
397672082	RVBD_0291	WP_003401528.1	type VII secretion-associated serine protease mycosin	0	N/A		0	N/A		2 to 1	RBB	WP_012738950.1	0	N/A	
397672083	RVBD_0292	WP_003916638.1	ESX-3 secretion system protein EccE3	0	N/A		0	N/A		0	N/A		0	N/A	
397672084	RVBD_0293c	WP_003898396.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672085	RVBD_0294	WP_003401538.1	trans-aconitate 2-methyltransferase	1 to 1	RBB	WP_005684257.1	0	N/A		0	N/A		0	N/A	
397672086	RVBD_0295c	WP_003401540.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672087	RVBD_0296c	WP_003401544.1	sulfatase	0	N/A		1 to 2	RBB	WP_011965021.1;WP_011965318.1	0	N/A		0	N/A	
397672088	RVBD_0297	WP_010886074.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672089	RVBD_0298	WP_003401555.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672090	RVBD_0299	WP_003401560.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672091	RVBD_0300	WP_003401563.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672092	RVBD_0301	WP_003902648.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672093	RVBD_0302	WP_003401571.1	TetR/AcrR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397672094	RVBD_0303	WP_003900117.1	light-dependent protochlorophyllide reductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672095	RVBD_0304c	WP_031648500.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672096	RVBD_0305c	WP_009935618.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672097	RVBD_0306	WP_003401584.1	cob(II)yrinic acid a,c-diamide reductase	0	N/A		1 to 1	RBB	WP_005845890.1	0	N/A		0	N/A	
397672098	RVBD_0307c	WP_003401589.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672099	RVBD_0308	WP_003401594.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672100	RVBD_0309	WP_003401597.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672101	RVBD_0310c	WP_003401601.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672102	RVBD_0311	WP_003898398.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672103	RVBD_0312	WP_003900119.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672104	RVBD_0313	WP_003401613.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672105	RVBD_0314c	WP_003902950.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672106	RVBD_0315	WP_003911156.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672107	RVBD_0316	WP_003401623.1	muconolactone delta-isomerase	0	N/A		0	N/A		0	N/A		0	N/A	
397672108	RVBD_0317c	WP_016719464.1	glycerophosphoryl diester phosphodiesterase	1 to 1	RBB	WP_005684954.1	0	N/A		1 to 1	RBB	WP_012739505.1	0	N/A	
397672109	RVBD_0318c	WP_023641442.1	ZIP family zinc transporter	0	N/A		0	N/A		0	N/A		0	N/A	
397672110	RVBD_0319	WP_003401632.1	pyrrolidone-carboxylate peptidase	1 to 1	RBB	WP_014568983.1	0	N/A		0	N/A		0	N/A	
397672111	RVBD_0320	WP_003401636.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672112	RVBD_0321	WP_003898399.1	deoxycytidine triphosphate deaminase	0	N/A		0	N/A		0	N/A		0	N/A	
397672113	RVBD_0322	WP_003898400.1	nucleotide sugar dehydrogenase	0	N/A		1 to 1	RBB	WP_005846440.1	0	N/A		0	N/A	
397672114	RVBD_0323c	WP_003401643.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672115	RVBD_0324	WP_003906339.1	ArsR family transcriptional regulator	0	N/A		1 to 1	RBB	WP_005845993.1	0	N/A		0	N/A	
397672116	RVBD_0325	WP_003898401.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672117	RVBD_0326	WP_003898402.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672118	RVBD_0327c	WP_003401650.1	cytochrome P450 135A1 cyp135A1	0	N/A		0	N/A		0	N/A		0	N/A	
397672119	RVBD_0328	WP_003401651.1	TetR/AcrR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397672120	RVBD_0329c	WP_003401654.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672121	RVBD_0330c	WP_003401656.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672122	RVBD_0331	WP_003900904.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672123	RVBD_0332	WP_003911158.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672124	RVBD_0333	WP_003401666.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672125	RVBD_0334	WP_003401670.1	glucose-1-phosphate thymidylyltransferase	1 to 2	RBB	WP_014569835.1;WP_041247813.1	1 to 2	RBB	WP_005840524.1;WP_005843154.1	1 to 1	RBB	WP_012738362.1	0	N/A	
397672126	RVBD_0335c	WP_003904385.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672127	RVBD_0336	WP_003906341.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672128	RVBD_0337c	WP_003401733.1	aminotransferase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012742225.1
397672129	RVBD_0338c	WP_003916653.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672130	RVBD_0339c	WP_003401735.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397672131	RVBD_0340	WP_003401737.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672132	RVBD_0341	WP_003901837.1	isoniazid-inducible protein iniB	0	N/A		0	N/A		0	N/A		0	N/A	
397672133	RVBD_0342	WP_003911164.1	isoniazid-inducible protein iniA	0	N/A		0	N/A		0	N/A		0	N/A	
397672134	RVBD_0343	WP_003401747.1	isoniazid-inducible protein iniC	0	N/A		0	N/A		0	N/A		0	N/A	
397672135	RVBD_0344c	WP_003401751.1	lipoprotein LpqJ	0	N/A		0	N/A		0	N/A		0	N/A	
397672136	RVBD_0345	WP_003898408.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672137	RVBD_0346c	WP_003898409.1	L-asparagine permease 2	0	N/A		0	N/A		0	N/A		0	N/A	
397672138	RVBD_0347	WP_003401755.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672139	RVBD_0348	WP_003401756.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397672140	RVBD_0349	WP_003900125.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672141	RVBD_0350	WP_003401814.1	chaperone dnaK	1 to 1	SSD	WP_005684295.1	1 to 1	RBB	WP_005846379.1	1 to 2	RBB	WP_041688021.1;WP_012739590.1	1 to 2	RBB	WP_012740949.1;WP_012742747.1
397672142	RVBD_0351	WP_003401817.1	protein grpE	1 to 1	SSD	WP_005684296.1	1 to 1	RBB	WP_005846211.1	1 to 1	RBB	WP_041688160.1	1 to 1	RBB	WP_012742749.1
397672143	RVBD_0352	WP_003401821.1	chaperone dnaJ 1	0	N/A		0	N/A		0	N/A		0	N/A	
397672144	RVBD_0353	WP_003401823.1	MerR family transcriptional regulator, heat shock protein HspR	1 to 1	RBB	WP_005684410.1	1 to 1	RBB	WP_005845797.1	0	N/A		0	N/A	
397672145	RVBD_0354c	WP_003900910.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672146	RVBD_0355c	WP_003916655.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672147	RVBD_0356c	WP_003401827.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672148	RVBD_0357c	WP_003401829.1	adenylosuccinate synthetase	1 to 1	SSD	WP_005687058.1	1 to 1	RBB	WP_005841117.1	1 to 1	RBB	WP_012738744.1	1 to 1	SSD	WP_041254127.1
397672149	RVBD_0358	WP_003401831.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672150	RVBD_0359	WP_003898413.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672151	RVBD_0360c	WP_003401852.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672152	RVBD_0361	WP_003401853.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672153	RVBD_0362	WP_003898415.1	magnesium transporter	0	N/A		1 to 1	RBB	WP_011965381.1	1 to 1	RBB	WP_012738908.1	1 to 1	RBB	WP_041254256.1
397672154	RVBD_0363c	WP_003401856.1	fructose-bisphosphate aldolase	1 to 7	RBB	WP_005688039.1;WP_005685339.1;WP_015764839.1;WP_005714906.1;WP_005684263.1;WP_005684934.1;WP_005684940.1	1 to 1	RBB	WP_005943012.1	1 to 1	RBB	WP_012740054.1	1 to 1	RBB	WP_012741603.1
397672155	RVBD_0364	WP_003401857.1	membrane-associated protein	1 to 1	RBB	WP_005685565.1	1 to 1	RBB	WP_011965705.1	0	N/A		0	N/A	
397672156	RVBD_0365c	WP_003401858.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672157	RVBD_0366c	WP_003401859.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_005839189.1	0	N/A		0	N/A	
397672158	RVBD_0367c	WP_003401860.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672159	RVBD_0368c	WP_003906353.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672160	RVBD_0369c	WP_003898417.1	membrane oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672161	RVBD_0370c	WP_003898418.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672162	RVBD_0371c	WP_003401864.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672163	RVBD_0372c	WP_003401865.1	xanthine dehydrogenase accessory factor	0	N/A		0	N/A		0	N/A		0	N/A	
397672164	RVBD_0373c	WP_003900133.1	carbon-monoxide dehydrogenase, large subunit	0	N/A		0	N/A		1 to 1	RBB	WP_012739720.1	1 to 1	RBB	WP_012743908.1
397672165	RVBD_0374c	WP_003401867.1	carbon-monoxide dehydrogenase small subunit	0	N/A		0	N/A		1 to 1	RBB	WP_012739721.1	1 to 1	RBB	WP_012743909.1
561108327	RVBD_0375c	WP_003898419.1	carbon-monoxide dehydrogenase medium subunit	0	N/A		0	N/A		0	N/A		0	N/A	
397672167	RVBD_0376c	WP_003401873.1	xanthine dehydrogenase accessory factor	0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_041254690.1
397672168	RVBD_0377	WP_003898421.1	LysR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397672169	RVBD_0378	WP_003898422.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672170	RVBD_0379	WP_003401885.1	preprotein translocase subunit secE2	0	N/A		0	N/A		0	N/A		0	N/A	
397672171	RVBD_0380c	WP_003401887.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672172	RVBD_0381c	WP_003401890.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672173	RVBD_0382c	WP_003401894.1	orotate phosphoribosyltransferase	1 to 1	SSD	WP_005685850.1	1 to 1	RBB	WP_005844513.1	0	N/A		0	N/A	
397672174	RVBD_0383c	WP_003401897.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672175	RVBD_0384c	WP_003401905.1	chaperone ClpB	1 to 1	RBB	WP_014569623.1	1 to 1	RBB	WP_012055909.1	1 to 1	RBB	WP_012739492.1	1 to 1	RBB	WP_015568238.1
397672176	RVBD_0385	WP_003401910.1	oxidoreductase	0	N/A		2 to 1	RBB	WP_005843526.1	0	N/A		0	N/A	
397672177	RVBD_0386	WP_003401912.1	LuxR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397672178	RVBD_0387c	WP_003401914.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
