Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession
16128164	b0171	NP_414713.1	uridylate kinase	1 to 1	RBB	WP_005684324.1	1 to 1	SSD	WP_012742613.1	1 to 1	RBB	WP_005839859.1	1 to 1	RBB	WP_012739092.1
16128165	b0172	NP_414714.1	ribosome recycling factor	1 to 1	RBB	WP_005684323.1	1 to 1	RBB	WP_012742612.1	1 to 1	RBB	WP_005839846.1	1 to 1	RBB	WP_022097318.1
16128166	b0173	NP_414715.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase	0	N/A		1 to 1	RBB	WP_012742609.1	1 to 1	RBB	WP_005853614.1	1 to 1	RBB	WP_012739096.1
16128167	b0174	NP_414716.1	undecaprenyl pyrophosphate synthase	1 to 1	RBB	WP_005684322.1	1 to 1	SSD	WP_012742611.1	1 to 1	SSD	WP_005844501.1	1 to 1	RBB	WP_012739094.1
90111095	b0175	NP_414717.2	CDP-diglyceride synthase	1 to 1	RBB	WP_005711688.1	1 to 1	RBB	WP_012742610.1	1 to 1	RBB	WP_005845815.1	1 to 1	RBB	WP_041688051.1
16128169	b0176	NP_414718.1	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA	1 to 1	RBB	WP_005684320.1	1 to 1	RBB	WP_041254573.1	1 to 1	RBB	WP_005839240.1	1 to 1	RBB	WP_012739097.1
16128170	b0177	NP_414719.1	outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCD OM protein complex	0	N/A		0	N/A		1 to 1	RBB	YP_001298184	0	N/A	
16128171	b0178	NP_414720.1	periplasmic chaperone	0	N/A		0	N/A		0	N/A		0	N/A	
16128172	b0179	NP_414721.1	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	0	N/A		0	N/A		1 to 1	RBB	WP_005851060.1	0	N/A	
16128173	b0180	NP_414722.1	(3R)-hydroxymyristol acyl carrier protein dehydratase	1 to 1	RBB	WP_005684766.1	1 to 1	RBB	WP_041254688.1	0	N/A		1 to 1	RBB	WP_012739942.1
16128174	b0181	NP_414723.1	UDP-N-acetylglucosamine acetyltransferase	0	N/A		0	N/A		2 to 1	RBB	WP_005843031.1;WP_005853095.1	0	N/A	
16128175	b0182	NP_414724.1	tetraacyldisaccharide-1-P synthase	0	N/A		0	N/A		1 to 1	RBB	WP_011965378.1	0	N/A	
16128176	b0183	NP_414725.1	ribonuclease HII, degrades RNA of DNA-RNA hybrids	1 to 1	RBB	WP_005688024.1	1 to 1	RBB	WP_012742366.1	1 to 1	RBB	WP_005838886.1	1 to 1	RBB	WP_012739282.1
16128177	b0184	NP_414726.1	DNA polymerase III alpha subunit	1 to 1	RBB	WP_014569626.1	1 to 1	RBB	WP_041253937.1	1 to 1	RBB	WP_005839888.1	1 to 1	RBB	WP_012739905.1
16128178	b0185	NP_414727.1	acetyl-CoA carboxylase, carboxytransferase, alpha subunit	1 to 1	RBB	WP_014569911.1	0	N/A		0	N/A		1 to 1	RBB	WP_012739948.1
16128179	b0186	NP_414728.1	lysine decarboxylase 2, constitutive	0	N/A		2 to 4	RBB	WP_012744031.1;WP_012744096.1	0	N/A		1 to 2	RBB	WP_012738298.1
90111096	b0187	NP_414729.4	predicted lyase	0	N/A		1 to 1	RBB	WP_012741190.1	0	N/A		0	N/A	
16128181	b0188	NP_414730.1	tRNA(Ile)-lysidine synthetase	1 to 1	RBB	WP_014570131.1	1 to 1	RBB	WP_012741441.1	1 to 1	RBB	WP_022509096.1	1 to 1	RBB	WP_041688815.1
90111097	b0189	NP_414731.2	modulator of Rho-dependent transcription termination	0	N/A		0	N/A		0	N/A		0	N/A	
16128183	b0190	NP_414732.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128184	b0191	NP_414733.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128185	b0192	NP_414734.1	lipoprotein involved with copper homeostasis and adhesion	0	N/A		0	N/A		1 to 1	RBB	WP_011964681.1	0	N/A	
90111098	b0193	NP_414735.4	predicted lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
16128187	b0194	NP_414736.1	prolyl-tRNA synthetase	1 to 1	RBB	WP_005684319.1	1 to 1	Non-SSD	WP_012741431.1	1 to 1	Borderline-SSD	WP_005842041.1	1 to 1	RBB	WP_012738349.1
16128188	b0195	NP_414737.1	conserved protein, UPF0066 family	0	N/A		1 to 1	RBB	WP_012743259.1	0	N/A		1 to 1	RBB	WP_041687940.1
16128189	b0196	NP_414738.1	predicted outer membrane protein, signal	0	N/A		0	N/A		0	N/A		0	N/A	
16128190	b0197	NP_414739.1	DL-methionine transporter subunit	2 to 1	RBB	WP_005684890.1;WP_005684889.1	0	N/A		0	N/A		0	N/A	
16128191	b0198	NP_414740.1	DL-methionine transporter subunit	1 to 1	RBB	WP_005684887.1	0	N/A		0	N/A		0	N/A	
16128192	b0199	NP_414741.1	DL-methionine transporter subunit	1 to 1	RBB	WP_005684888.1	0	N/A		0	N/A		0	N/A	
16128193	b0200	NP_414742.1	D,D-heptose 1,7-bisphosphate phosphatase	0	N/A		0	N/A		0	N/A		0	N/A	
16128194	b0207	NP_414743.1	2,5-diketo-D-gluconate reductase B	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_041688395.1
16128195	b0208	NP_414744.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 3	RBB	WP_012742370.1	0	N/A		0	N/A	
16128196	b0209	NP_414745.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128197	b0210	NP_414746.1	predicted S-adenosyl-L-methionine-dependent methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16128198	b0211	NP_414747.1	predicted membrane-bound lytic murein transglycosylase D	1 to 1	RBB	WP_014569502.1	0	N/A		1 to 1	RBB	WP_005845800.1	1 to 1	RBB	WP_041688579.1
16128199	b0212	NP_414748.1	hydroxyacylglutathione hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
90111099	b0213	NP_414749.2	predicted S-adenosyl-L-methionine-dependent methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16128201	b0214	NP_414750.1	ribonuclease HI, degrades RNA of DNA-RNA hybrids	1 to 1	RBB	WP_005685160.1	1 to 1	RBB	WP_041254521.1	0	N/A		0	N/A	
16128202	b0215	NP_414751.1	DNA polymerase III epsilon subunit	0	N/A		1 to 1	RBB	WP_012742606.1	1 to 1	RBB	WP_005846646.1	0	N/A	
16128203	b0217	NP_414752.1	lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
16128205	b0219	NP_414754.1	predicted C-N hydrolase family amidase, NAD(P)-binding	1 to 1	RBB	WP_014570245.1	0	N/A		1 to 1	SSD	WP_005846110.1	0	N/A	
16128206	b0220	NP_414755.1	inhibitor of c-type lysozyme, periplasmic	0	N/A		0	N/A		0	N/A		0	N/A	
90111100	b0221	NP_414756.2	acyl coenzyme A dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
16128208	b0222	NP_414757.1	D-sedoheptulose 7-phosphate isomerase	0	N/A		0	N/A		0	N/A		0	N/A	
16128209	b0223	NP_414758.1	predicted amidotransfease	0	N/A		0	N/A		0	N/A		0	N/A	
16128210	b0224	NP_414759.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128211	b0225	NP_414760.1	translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ	0	N/A		1 to 1	RBB	WP_012741929.1	0	N/A		0	N/A	
16128212	b0226	NP_414761.1	antitoxin of YafQ-DinJ toxin-antitoxin system	0	N/A		1 to 1	RBB	WP_012743404.1	0	N/A		0	N/A	
16128213	b0227	NP_414762.1	predicted lipoprotein and C40 family peptidase	0	N/A		3 to 2	RBB	WP_012744295.1;WP_012741677.1	0	N/A		1 to 4	RBB	WP_041688600.1
16128214	b0228	NP_414763.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128217	b0231	NP_414766.1	DNA polymerase IV	1 to 1	RBB	WP_005685511.1	2 to 1	RBB	WP_023922632.1;WP_041254721.1	1 to 1	SSD	WP_011965374.1	0	N/A	
16128218	b0232	NP_414767.1	antitoxin of the YafO-YafN toxin-antitoxin system	0	N/A		0	N/A		0	N/A		0	N/A	
16128219	b0233	NP_414768.1	mRNA interferase toxin of the YafO-YafN toxin-antitoxin system	0	N/A		0	N/A		0	N/A		0	N/A	
16128220	b0234	NP_414769.1	predicted acyltransferase with acyl-CoA N-acyltransferase domain	0	N/A		0	N/A		1 to 1	RBB	WP_008668696.1	0	N/A	
16128223	b0237	NP_414772.1	aminoacyl-histidine dipeptidase (peptidase D)	0	N/A		1 to 1	RBB	WP_012741761.1	2 to 1	RBB	WP_005848504.1;WP_005845829.1	2 to 1	RBB	WP_012739438.1;WP_012738476.1
16128224	b0238	NP_414773.1	guanine-hypoxanthine phosphoribosyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16128225	b0239	NP_414774.1	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity	0	N/A		0	N/A		0	N/A		0	N/A	
16128226	b0240	NP_414775.1	sigma factor-binding protein, stimulates RNA polymerase holoenzyme formation	0	N/A		0	N/A		0	N/A		0	N/A	
16128227	b0241	NP_414776.1	outer membrane phosphoporin protein E	0	N/A		0	N/A		0	N/A		0	N/A	
16128228	b0242	NP_414777.1	gamma-glutamate kinase	1 to 1	RBB	WP_005698939.1	1 to 1	SSD	WP_012742490.1	1 to 1	RBB	WP_005850817.1	1 to 1	RBB	WP_012739219.1
16128229	b0243	NP_414778.1	gamma-glutamylphosphate reductase	1 to 1	RBB	WP_014570059.1	1 to 1	SSD	WP_012742493.1	1 to 1	RBB	WP_011964797.1	1 to 1	RBB	WP_012739223.1
16128230	b0245	NP_414779.1	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	0	N/A		0	N/A		0	N/A		0	N/A	
16128231	b0246	NP_414780.1	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system	0	N/A		0	N/A		0	N/A		0	N/A	
16128232	b0247	NP_414781.1	CP4-6 prophage; predicted DNA repair protein	0	N/A		0	N/A		2 to 3	RBB	WP_005841800.1;WP_012055582.1	0	N/A	
16128233	b0248	NP_414782.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128234	b0249	NP_414783.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128235	b0250	NP_414784.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
145698221	b0251	NP_414785.4	lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage	0	N/A		0	N/A		0	N/A		0	N/A	
90111102	b0252	NP_414786.4	CP4-6 prophage; conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111103	b0253	NP_414787.4	CP4-6 prophage; predicted GTP-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128239	b0254	NP_414788.1	CP4-6 prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16128241	b0256	NP_414790.1	IS30 transposase	4 to 3	RBB	WP_014568877.1	3 to 3	RBB	WP_022293574.1;WP_041253786.1	0	N/A		0	N/A	
16128244	b0259	NP_414793.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A	
90111105	b0260	NP_414794.4	CP4-6 prophage; predicted S-methylmethionine transporter	0	N/A		1 to 5	RBB	WP_012741025.1	0	N/A		0	N/A	
16128246	b0261	NP_414795.1	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
90111106	b0262	NP_414796.2	CP4-6 prophage; predicted ferric transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16128249	b0264	NP_414798.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A	
16128250	b0265	NP_414799.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A	
16128252	b0267	NP_414801.1	CP4-6 prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
345452715	b0268	NP_414802.2	2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage	0	N/A		1 to 2	RBB	WP_012742066.1	0	N/A		0	N/A	
16128253	b0268	NP_414802.1	CP4-6 prophage; predicted lyase/synthase	0	N/A		0	N/A		0	N/A		0	N/A	
16128254	b0269	NP_414803.1	CP4-6 prophage; predicted dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
16128255	b0270	NP_414804.1	CP4-6 prophage; predicted sugar transporter	1 to 2	RBB	WP_014569160.1	0	N/A		1 to 2	RBB	WP_008782290.1	1 to 6	RBB	WP_041688284.1
16128256	b0271	NP_414805.1	CP4-6 prophage; predicted xylosidase/arabinosidase	0	N/A		1 to 1	RBB	WP_012741905.1	1 to 1	RBB	WP_008782291.1	1 to 1	RBB	WP_012739216.1
16128257	b0272	NP_414806.1	CP4-6 prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16128258	b0273	NP_414807.1	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage	0	N/A		1 to 2	RBB	WP_012740986.1	0	N/A		1 to 2	RBB	WP_012739901.1
16128259	b0274	NP_414808.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A	
16128260	b0275	NP_414809.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A	
16128262	b0277	NP_414811.1	CP4-6 prophage; conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128263	b0278	NP_414812.1	CP4-6 prophage; DNA-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128264	b0279	NP_414813.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128265	b0280	NP_414814.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128266	b0281	NP_414815.1	CP4-6 prophage; predicted phage integrase	1 to 1	RBB	WP_014569455.1	0	N/A		0	N/A		0	N/A	
16128268	b0283	NP_414817.1	moco insertion factor for PaoABC aldehyde oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
16128269	b0284	NP_414818.1	PaoABC aldehyde oxidoreductase, Moco-containing subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16128270	b0285	NP_414819.1	PaoABC aldehyde oxidoreductase, FAD-containing subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16128271	b0286	NP_414820.1	PaoABC aldehyde oxidoreductase, 2Fe-2S subunit	0	N/A		1 to 2	RBB	WP_012743909.1	0	N/A		1 to 2	RBB	WP_012739721.1
16128272	b0287	NP_414821.1	inner membrane protein, DUF1440 family	1 to 1	RBB	WP_014569161.1	0	N/A		0	N/A		0	N/A	
16128273	b0288	NP_414822.1	predicted ferredoxin	0	N/A		0	N/A		0	N/A		0	N/A	
90111108	b0289	NP_414823.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128275	b0290	NP_414824.1	predicted receptor	0	N/A		0	N/A		0	N/A		0	N/A	
16128276	b0291	NP_414825.1	predicted aromatic compound dioxygenase	0	N/A		0	N/A		0	N/A		0	N/A	
16128277	b0292	NP_414826.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128278	b0293	NP_414827.1	cryptic Mat fimbrillin gene	0	N/A		0	N/A		0	N/A		0	N/A	
16128279	b0294	NP_414828.1	predicted regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16128280	b0295	NP_414829.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128281	b0296	NP_414830.1	rpmE (L31) paralog	1 to 1	RBB	WP_005686641.1	0	N/A		1 to 1	RBB	WP_005838658.1	0	N/A	
226524700	b0298	NP_414832.2	IS3 transposase A	0	N/A		1 to 5	RBB	WP_005612369.1	0	N/A		0	N/A	
16128284	b0299	NP_414833.1	IS3 transposase B	1 to 5	RBB	WP_014569096.1	1 to 5	RBB	WP_012743026.1	0	N/A		0	N/A	
90111110	b0301	NP_414835.2	inner membrane protein, DUF417 family	0	N/A		0	N/A		1 to 1	RBB	WP_008667272.1	0	N/A	
90111111	b0303	NP_414837.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111112	b0304	NP_414838.2	predicted pyridine nucleotide-disulfide oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
16128290	b0305	NP_414839.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	RBB	WP_012744327.1	0	N/A		1 to 1	RBB	WP_012739937.1
16128291	b0306	NP_414840.1	predicted oxidoreductase	1 to 1	RBB	WP_014569878.1	0	N/A		1 to 1	RBB	WP_005843421.1	0	N/A	
16128292	b0307	NP_414841.1	predicted electron transport protein with ferridoxin-like domai	1 to 1	RBB	WP_014569877.1	0	N/A		1 to 1	RBB	WP_005843424.1	0	N/A	
90111113	b0308	NP_414842.4	predicted transporter	1 to 1	RBB	WP_014569876.1	0	N/A		1 to 1	RBB	WP_005843426.1	0	N/A	
16128295	b0310	NP_414844.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128296	b0311	NP_414845.1	choline dehydrogenase, a flavoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
16128297	b0312	NP_414846.1	betaine aldehyde dehydrogenase, NAD-dependent	1 to 6	RBB	WP_005690034.1	0	N/A		0	N/A		1 to 8	RBB	WP_041687921.1
49176011	b0313	NP_414847.3	DNA-binding transcriptional repressor	0	N/A		0	N/A		0	N/A		0	N/A	
16128299	b0314	NP_414848.1	choline transporter of high affinity	0	N/A		1 to 3	RBB	WP_012743425.1	0	N/A		0	N/A	
16128300	b0315	NP_414849.1	c-di-GMP-specific phosphodiesterase	0	N/A		0	N/A		0	N/A		0	N/A	
16128301	b0316	NP_414850.1	predicted DNA-bindng transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16128302	b0317	NP_414851.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128303	b0318	NP_414852.1	ankyrin repeat protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128304	b0319	NP_414853.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128305	b0320	NP_414854.1	predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain	0	N/A		0	N/A		0	N/A		0	N/A	
16128306	b0321	NP_414855.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128308	b0323	NP_414857.1	carbamate kinase-like protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128309	b0324	NP_414858.1	predicted deaminase with metallo-dependent hydrolase domain	0	N/A		0	N/A		0	N/A		0	N/A	
16128310	b0325	NP_414859.1	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	0	N/A		0	N/A		0	N/A		0	N/A	
16128311	b0326	NP_414860.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111114	b0327	NP_414861.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128313	b0328	NP_414862.1	inner membrane protein, LysE transporter family; overproduction confers sensitivity to L-homoserine	0	N/A		0	N/A		0	N/A		0	N/A	
16128314	b0329	NP_414863.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128315	b0330	NP_414864.1	propionate catabolism operon regulatory protein	0	N/A		1 to 10	RBB	WP_012742061.1	0	N/A		0	N/A	
16128316	b0331	NP_414865.1	2-methylisocitrate lyase	0	N/A		0	N/A		0	N/A		0	N/A	
16128318	b0333	NP_414867.1	2-methylcitrate synthase	0	N/A		2 to 1	RBB	WP_012742038.1;WP_041254321.1	1 to 2	SSD	WP_005845878.1	1 to 1	RBB	WP_041687900.1
16128319	b0334	NP_414868.1	2-methylcitrate dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
16128320	b0335	NP_414869.1	propionate--CoA ligase	0	N/A		0	N/A		1 to 2	RBB	WP_005850772.1	0	N/A	
16128321	b0336	NP_414870.1	cytosine transporter	1 to 1	RBB	WP_014569891.1	0	N/A		0	N/A		0	N/A	
16128322	b0337	NP_414871.1	cytosine deaminase	0	N/A		0	N/A		0	N/A		0	N/A	
157783149	b0338	NP_414872.3	transcriptional activator of cyn operon; autorepressor	1 to 2	RBB	WP_005687524.1	0	N/A		0	N/A		0	N/A	
16128324	b0339	NP_414873.1	carbonic anhydrase	0	N/A		0	N/A		1 to 1	RBB	WP_005842314.1	0	N/A	
16128325	b0340	NP_414874.1	cyanate aminohydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
16128326	b0341	NP_414875.1	predicted cyanate transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16128327	b0342	NP_414876.1	thiogalactoside acetyltransferase	1 to 1	RBB	WP_005695851.1	0	N/A		2 to 2	RBB	WP_005845040.1;WP_012055622.1	1 to 2	RBB	WP_041687852.1
16128328	b0343	NP_414877.1	lactose permease	0	N/A		0	N/A		0	N/A		0	N/A	
16128329	b0344	NP_414878.1	beta-D-galactosidase	0	N/A		2 to 2	RBB	WP_012742244.1;WP_012742871.1	4 to 1	RBB	WP_011965157.1;WP_011964701.1;WP_011965701.1;WP_008667581.1	1 to 2	RBB	WP_041688286.1
49176012	b0345	NP_414879.3	DNA-binding transcriptional repressor	0	N/A		0	N/A		0	N/A		0	N/A	
145698223	b0346	NP_414880.2	DNA-binding transcriptional activator, 3HPP-binding	0	N/A		0	N/A		0	N/A		0	N/A	
16128332	b0347	NP_414881.1	3-(3-hydroxyphenyl)propionate hydroxylase	0	N/A		0	N/A		0	N/A		0	N/A	
16128333	b0348	NP_414882.1	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	0	N/A		0	N/A		0	N/A		0	N/A	
90111115	b0349	NP_414883.4	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	1 to 1	RBB	WP_015765015.1	0	N/A		0	N/A		0	N/A	
90111116	b0350	NP_414884.2	2-keto-4-pentenoate hydratase	0	N/A		0	N/A		0	N/A		0	N/A	
16128336	b0351	NP_414885.1	acetaldehyde-CoA dehydrogenase II, NAD-binding	0	N/A		0	N/A		0	N/A		0	N/A	
16128337	b0352	NP_414886.1	4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase, class I	0	N/A		0	N/A		2 to 1	RBB	WP_005847160.1;WP_011965679.1	1 to 1	RBB	WP_012740134.1
90111117	b0353	NP_414887.2	predicted 3-hydroxyphenylpropionic transporter	0	N/A		0	N/A		0	N/A		0	N/A	
90111118	b0354	NP_414888.4	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128340	b0355	NP_414889.1	S-formylglutathione hydrolase	0	N/A		0	N/A		1 to 2	RBB	WP_005847415.1	1 to 1	RBB	WP_041688338.1
16128341	b0356	NP_414890.1	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase	1 to 1	RBB	WP_005686583.1	0	N/A		0	N/A		0	N/A	
162135894	b0357	NP_414891.4	regulator protein that represses frmRAB operon	0	N/A		1 to 2	RBB	WP_041253856.1	0	N/A		1 to 2	RBB	WP_012739694.1
16128343	b0358	NP_414892.1	outer membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
145698224	b0360	NP_414894.2	IS2 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A	
16128346	b0361	NP_414895.1	IS2 transposase TnpB	0	N/A		0	N/A		0	N/A		0	N/A	
16128348	b0363	NP_414897.1	predicted glucosyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
90111121	b0364	NP_414898.4	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111122	b0365	NP_414899.2	taurine transporter subunit	1 to 1	RBB	WP_005687426.1	0	N/A		0	N/A		0	N/A	
16128351	b0366	NP_414900.1	taurine transporter subunit	1 to 1	RBB	WP_005687425.1	0	N/A		0	N/A		0	N/A	
16128352	b0367	NP_414901.1	taurine transporter subunit	1 to 1	RBB	WP_005687427.1	0	N/A		0	N/A		1 to 1	RBB	WP_012739634.1
16128353	b0368	NP_414902.1	taurine dioxygenase, 2-oxoglutarate-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
90111123	b0369	NP_414903.4	5-aminolevulinate dehydratase (porphobilinogen synthase)	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041688522.1
16128357	b0372	NP_414906.1	IS3 transposase B	1 to 5	RBB	WP_014569096.1	1 to 5	RBB	WP_012743026.1	0	N/A		0	N/A	
226524701	b0373	NP_414907.2	IS3 transposase A	0	N/A		1 to 5	RBB	WP_005612369.1	0	N/A		0	N/A	
226524702	b0375	NP_414909.2	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16128361	b0376	NP_414910.1	penicillin-binding protein	2 to 1	RBB	WP_014569791.1;WP_005685387.1	0	N/A		0	N/A		0	N/A	
16128362	b0377	NP_414911.1	microcin B17 transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16128363	b0378	NP_414912.1	probable lipoprotein required for swarming phenotype	0	N/A		0	N/A		0	N/A		0	N/A	
16128364	b0379	NP_414913.1	inner membrane protein, DUF2755 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111125	b0380	NP_414914.2	predicted inner membrane protein, DUF2754 family	0	N/A		0	N/A		0	N/A		0	N/A	
16128366	b0381	NP_414915.1	D-alanine-D-alanine ligase A	1 to 2	RBB	WP_014568966.1	1 to 2	RBB	WP_015516048.1	1 to 2	RBB	WP_005845987.1	0	N/A	
16128367	b0382	NP_414916.1	anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein	0	N/A		0	N/A		0	N/A		0	N/A	
49176017	b0383	NP_414917.2	bacterial alkaline phosphatase	0	N/A		0	N/A		1 to 1	RBB	WP_005845506.1	0	N/A	
162135895	b0384	NP_414918.4	conserved protein, PsiF family, pho regulon	0	N/A		0	N/A		0	N/A		0	N/A	
16128370	b0385	NP_414919.1	diguanylate cyclase for cellulose, biofilm, motility regulation	0	N/A		0	N/A		0	N/A		0	N/A	
16128371	b0386	NP_414920.1	pyrroline-5-carboxylate reductase, NAD(P)-binding	1 to 1	RBB	WP_014569793.1	1 to 1	SSD	WP_012742041.1	1 to 1	RBB	WP_005841046.1	1 to 1	RBB	WP_012739352.1
90111127	b0387	NP_414921.2	conserved protein, UPF0178 family, downregulated by beryllium	0	N/A		2 to 1	RBB	WP_015514506.1;WP_041254501.1	0	N/A		0	N/A	
16128373	b0388	NP_414922.1	shikimate kinase II	0	N/A		0	N/A		1 to 2	RBB	WP_005838813.1	0	N/A	
16128374	b0389	NP_414923.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128375	b0390	NP_414924.1	conserved protein, AroM family; regulated by aroR	0	N/A		0	N/A		0	N/A		0	N/A	
