Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16128192	b0199	NP_414741.1	DL-methionine transporter subunit	1 to 1	RBB	YP_815672.1	1 to 1	RBB	WP_000571218.1	1 to 1	RBB	NP_391154.1
16128193	b0200	NP_414742.1	D,D-heptose 1,7-bisphosphate phosphatase	0	N/A		0	N/A		0	N/A	
16128194	b0207	NP_414743.1	2,5-diketo-D-gluconate reductase B	0	N/A		0	N/A		0	N/A	
16128195	b0208	NP_414744.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 2	RBB	WP_000403916.1	0	N/A	
16128196	b0209	NP_414745.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128197	b0210	NP_414746.1	predicted S-adenosyl-L-methionine-dependent methyltransferase	0	N/A		0	N/A		1 to 1	RBB	NP_388198.2
16128198	b0211	NP_414747.1	predicted membrane-bound lytic murein transglycosylase D	0	N/A		2 to 1	RBB	WP_000731644.1;WP_001170264.1	1 to 1	RBB	NP_389802.1
16128199	b0212	NP_414748.1	hydroxyacylglutathione hydrolase	0	N/A		0	N/A		0	N/A	
90111099	b0213	NP_414749.2	predicted S-adenosyl-L-methionine-dependent methyltransferase	0	N/A		0	N/A		0	N/A	
16128201	b0214	NP_414750.1	ribonuclease HI, degrades RNA of DNA-RNA hybrids	0	N/A		0	N/A		1 to 1	RBB	NP_390082.1
16128202	b0215	NP_414751.1	DNA polymerase III epsilon subunit	0	N/A		0	N/A		0	N/A	
16128203	b0217	NP_414752.1	lipoprotein	0	N/A		0	N/A		0	N/A	
16128205	b0219	NP_414754.1	predicted C-N hydrolase family amidase, NAD(P)-binding	0	N/A		1 to 1	RBB	WP_000867960.1	1 to 1	SSD	NP_389240.1
16128206	b0220	NP_414755.1	inhibitor of c-type lysozyme, periplasmic	0	N/A		0	N/A		0	N/A	
90111100	b0221	NP_414756.2	acyl coenzyme A dehydrogenase	0	N/A		0	N/A		0	N/A	
16128208	b0222	NP_414757.1	D-sedoheptulose 7-phosphate isomerase	0	N/A		0	N/A		0	N/A	
16128209	b0223	NP_414758.1	predicted amidotransfease	0	N/A		0	N/A		0	N/A	
16128210	b0224	NP_414759.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128211	b0225	NP_414760.1	translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ	1 to 1	RBB	YP_815774.1	0	N/A		0	N/A	
16128212	b0226	NP_414761.1	antitoxin of YafQ-DinJ toxin-antitoxin system	1 to 1	RBB	YP_815773.1	0	N/A		0	N/A	
16128213	b0227	NP_414762.1	predicted lipoprotein and C40 family peptidase	0	N/A		0	N/A		2 to 1	RBB	NP_391467.1
16128214	b0228	NP_414763.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128217	b0231	NP_414766.1	DNA polymerase IV	1 to 1	SSD	YP_815927.1	1 to 1	RBB	WP_000140176.1	1 to 2	SSD	NP_390252.1;NP_390268.2
16128218	b0232	NP_414767.1	antitoxin of the YafO-YafN toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16128219	b0233	NP_414768.1	mRNA interferase toxin of the YafO-YafN toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16128220	b0234	NP_414769.1	predicted acyltransferase with acyl-CoA N-acyltransferase domain	0	N/A		0	N/A		0	N/A	
16128223	b0237	NP_414772.1	aminoacyl-histidine dipeptidase (peptidase D)	0	N/A		0	N/A		0	N/A	
16128224	b0238	NP_414773.1	guanine-hypoxanthine phosphoribosyltransferase	0	N/A		0	N/A		0	N/A	
16128225	b0239	NP_414774.1	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity	0	N/A		0	N/A		0	N/A	
16128226	b0240	NP_414775.1	sigma factor-binding protein, stimulates RNA polymerase holoenzyme formation	0	N/A		0	N/A		0	N/A	
16128227	b0241	NP_414776.1	outer membrane phosphoporin protein E	0	N/A		0	N/A		0	N/A	
16128228	b0242	NP_414777.1	gamma-glutamate kinase	1 to 1	SSD	YP_816305.1	0	N/A		1 to 2	SSD	NP_389195.2;NP_389729.1
16128229	b0243	NP_414778.1	gamma-glutamylphosphate reductase	1 to 1	SSD	YP_816306.1	0	N/A		1 to 1	SSD	NP_389196.2
16128230	b0245	NP_414779.1	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16128231	b0246	NP_414780.1	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16128232	b0247	NP_414781.1	CP4-6 prophage; predicted DNA repair protein	0	N/A		1 to 4	RBB	WP_000692870.1	0	N/A	
16128233	b0248	NP_414782.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16128234	b0249	NP_414783.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16128235	b0250	NP_414784.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
145698221	b0251	NP_414785.4	lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage	0	N/A		0	N/A		0	N/A	
90111102	b0252	NP_414786.4	CP4-6 prophage; conserved protein	0	N/A		0	N/A		0	N/A	
90111103	b0253	NP_414787.4	CP4-6 prophage; predicted GTP-binding protein	0	N/A		0	N/A		0	N/A	
16128239	b0254	NP_414788.1	CP4-6 prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16128241	b0256	NP_414790.1	IS30 transposase	2 to 3	RBB	YP_816291.1;YP_816804.1	2 to 3	RBB	WP_031783734.1;YP_001333637	0	N/A	
16128244	b0259	NP_414793.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A	
90111105	b0260	NP_414794.4	CP4-6 prophage; predicted S-methylmethionine transporter	0	N/A		0	N/A		1 to 2	RBB	NP_388122.1;NP_391818.2
16128246	b0261	NP_414795.1	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase	0	N/A		0	N/A		1 to 1	RBB	NP_388123.1
90111106	b0262	NP_414796.2	CP4-6 prophage; predicted ferric transporter subunit	1 to 1	RBB	YP_815743.1	0	N/A		0	N/A	
16128249	b0264	NP_414798.1	IS1 transposase B	0	N/A		0	N/A		0	N/A	
16128250	b0265	NP_414799.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A	
16128252	b0267	NP_414801.1	CP4-6 prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
345452715	b0268	NP_414802.2	2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage	0	N/A		0	N/A		0	N/A	
16128253	b0268	NP_414802.1	CP4-6 prophage; predicted lyase/synthase	0	N/A		0	N/A		0	N/A	
16128254	b0269	NP_414803.1	CP4-6 prophage; predicted dehydratase	0	N/A		0	N/A		0	N/A	
16128255	b0270	NP_414804.1	CP4-6 prophage; predicted sugar transporter	0	N/A		0	N/A		0	N/A	
16128256	b0271	NP_414805.1	CP4-6 prophage; predicted xylosidase/arabinosidase	0	N/A		0	N/A		1 to 1	RBB	NP_389640.2
16128257	b0272	NP_414806.1	CP4-6 prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		2 to 1	RBB	NP_388291.2
16128258	b0273	NP_414807.1	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage	1 to 2	RBB	YP_817363.1	1 to 2	RBB	WP_000793605.1	2 to 1	RBB	NP_389007.1
16128259	b0274	NP_414808.1	IS1 transposase B	0	N/A		0	N/A		0	N/A	
16128260	b0275	NP_414809.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A	
16128262	b0277	NP_414811.1	CP4-6 prophage; conserved protein	0	N/A		0	N/A		0	N/A	
16128263	b0278	NP_414812.1	CP4-6 prophage; DNA-binding protein	0	N/A		0	N/A		0	N/A	
16128264	b0279	NP_414813.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16128265	b0280	NP_414814.1	CP4-6 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16128266	b0281	NP_414815.1	CP4-6 prophage; predicted phage integrase	0	N/A		0	N/A		0	N/A	
16128268	b0283	NP_414817.1	moco insertion factor for PaoABC aldehyde oxidoreductase	0	N/A		0	N/A		0	N/A	
16128269	b0284	NP_414818.1	PaoABC aldehyde oxidoreductase, Moco-containing subunit	0	N/A		0	N/A		0	N/A	
16128270	b0285	NP_414819.1	PaoABC aldehyde oxidoreductase, FAD-containing subunit	0	N/A		0	N/A		0	N/A	
16128271	b0286	NP_414820.1	PaoABC aldehyde oxidoreductase, 2Fe-2S subunit	0	N/A		0	N/A		0	N/A	
16128272	b0287	NP_414821.1	inner membrane protein, DUF1440 family	0	N/A		1 to 1	RBB	WP_000166932.1	0	N/A	
16128273	b0288	NP_414822.1	predicted ferredoxin	0	N/A		0	N/A		0	N/A	
90111108	b0289	NP_414823.2	conserved protein	0	N/A		0	N/A		0	N/A	
16128275	b0290	NP_414824.1	predicted receptor	0	N/A		0	N/A		0	N/A	
16128276	b0291	NP_414825.1	predicted aromatic compound dioxygenase	0	N/A		0	N/A		0	N/A	
16128277	b0292	NP_414826.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128278	b0293	NP_414827.1	cryptic Mat fimbrillin gene	0	N/A		0	N/A		0	N/A	
16128279	b0294	NP_414828.1	predicted regulator	0	N/A		0	N/A		0	N/A	
16128280	b0295	NP_414829.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128281	b0296	NP_414830.1	rpmE (L31) paralog	1 to 1	RBB	YP_816622.1	1 to 1	RBB	WP_000808968.1	1 to 1	RBB	NP_390948.1
226524700	b0298	NP_414832.2	IS3 transposase A	0	N/A		0	N/A		0	N/A	
16128284	b0299	NP_414833.1	IS3 transposase B	1 to 6	RBB	YP_816351.1	0	N/A		0	N/A	
90111110	b0301	NP_414835.2	inner membrane protein, DUF417 family	0	N/A		0	N/A		0	N/A	
90111111	b0303	NP_414837.2	predicted protein	0	N/A		0	N/A		0	N/A	
90111112	b0304	NP_414838.2	predicted pyridine nucleotide-disulfide oxidoreductase	1 to 1	RBB	YP_816874.1	1 to 1	RBB	WP_000860581.1	0	N/A	
16128290	b0305	NP_414839.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16128291	b0306	NP_414840.1	predicted oxidoreductase	0	N/A		0	N/A		1 to 1	SSD	NP_391285.1
16128292	b0307	NP_414841.1	predicted electron transport protein with ferridoxin-like domai	0	N/A		0	N/A		1 to 1	SSD	NP_391284.1
90111113	b0308	NP_414842.4	predicted transporter	0	N/A		0	N/A		1 to 1	RBB	NP_391283.1
16128295	b0310	NP_414844.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
16128296	b0311	NP_414845.1	choline dehydrogenase, a flavoprotein	0	N/A		1 to 1	RBB	WP_000066521.1	0	N/A	
16128297	b0312	NP_414846.1	betaine aldehyde dehydrogenase, NAD-dependent	1 to 6	RBB	YP_816479.1	1 to 1	RBB	WP_000421701.1	0	N/A	
49176011	b0313	NP_414847.3	DNA-binding transcriptional repressor	0	N/A		0	N/A		1 to 1	RBB	NP_389589.1
16128299	b0314	NP_414848.1	choline transporter of high affinity	0	N/A		2 to 1	RBB	WP_001088979.1;WP_000792345.1	1 to 1	RBB	NP_390885.1
16128300	b0315	NP_414849.1	c-di-GMP-specific phosphodiesterase	0	N/A		0	N/A		0	N/A	
16128301	b0316	NP_414850.1	predicted DNA-bindng transcriptional regulator	0	N/A		0	N/A		0	N/A	
16128302	b0317	NP_414851.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
16128303	b0318	NP_414852.1	ankyrin repeat protein	0	N/A		0	N/A		0	N/A	
16128304	b0319	NP_414853.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128305	b0320	NP_414854.1	predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain	0	N/A		0	N/A		0	N/A	
16128306	b0321	NP_414855.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128308	b0323	NP_414857.1	carbamate kinase-like protein	0	N/A		0	N/A		0	N/A	
16128309	b0324	NP_414858.1	predicted deaminase with metallo-dependent hydrolase domain	0	N/A		0	N/A		0	N/A	
16128310	b0325	NP_414859.1	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	0	N/A		0	N/A		1 to 1	RBB	NP_390579.2
16128311	b0326	NP_414860.1	predicted protein	0	N/A		0	N/A		0	N/A	
90111114	b0327	NP_414861.2	predicted protein	0	N/A		0	N/A		0	N/A	
16128313	b0328	NP_414862.1	inner membrane protein, LysE transporter family; overproduction confers sensitivity to L-homoserine	0	N/A		0	N/A		0	N/A	
16128314	b0329	NP_414863.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128315	b0330	NP_414864.1	propionate catabolism operon regulatory protein	0	N/A		0	N/A		0	N/A	
16128316	b0331	NP_414865.1	2-methylisocitrate lyase	0	N/A		0	N/A		1 to 1	RBB	NP_390292.1
16128318	b0333	NP_414867.1	2-methylcitrate synthase	0	N/A		1 to 1	RBB	WP_000829167.1	1 to 3	RBB	NP_388825.2;NP_390294.1;NP_390792.1
16128319	b0334	NP_414868.1	2-methylcitrate dehydratase	0	N/A		0	N/A		1 to 1	RBB	NP_390293.2
16128320	b0335	NP_414869.1	propionate--CoA ligase	1 to 5	RBB	YP_816422.1	1 to 2	RBB	WP_000862083.1	2 to 1	RBB	NP_390846.1
16128321	b0336	NP_414870.1	cytosine transporter	0	N/A		0	N/A		0	N/A	
16128322	b0337	NP_414871.1	cytosine deaminase	0	N/A		0	N/A		0	N/A	
157783149	b0338	NP_414872.3	transcriptional activator of cyn operon; autorepressor	1 to 4	RBB	YP_816301.1	1 to 1	RBB	WP_000351761.1	1 to 1	RBB	NP_391710.1
16128324	b0339	NP_414873.1	carbonic anhydrase	0	N/A		0	N/A		1 to 2	RBB	NP_390947.1;NP_391347.1
16128325	b0340	NP_414874.1	cyanate aminohydrolase	0	N/A		0	N/A		0	N/A	
16128326	b0341	NP_414875.1	predicted cyanate transporter	0	N/A		0	N/A		0	N/A	
16128327	b0342	NP_414876.1	thiogalactoside acetyltransferase	0	N/A		1 to 2	RBB	WP_000136500.1	0	N/A	
16128328	b0343	NP_414877.1	lactose permease	0	N/A		0	N/A		0	N/A	
16128329	b0344	NP_414878.1	beta-D-galactosidase	1 to 3	RBB	YP_816062.1	0	N/A		0	N/A	
49176012	b0345	NP_414879.3	DNA-binding transcriptional repressor	0	N/A		1 to 3	RBB	WP_000757880.1	0	N/A	
145698223	b0346	NP_414880.2	DNA-binding transcriptional activator, 3HPP-binding	0	N/A		0	N/A		0	N/A	
16128332	b0347	NP_414881.1	3-(3-hydroxyphenyl)propionate hydroxylase	0	N/A		0	N/A		1 to 1	RBB	NP_388931.1
16128333	b0348	NP_414882.1	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	0	N/A		0	N/A		0	N/A	
90111115	b0349	NP_414883.4	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	0	N/A		0	N/A		1 to 2	RBB	NP_388739.1;NP_388971.1
90111116	b0350	NP_414884.2	2-keto-4-pentenoate hydratase	0	N/A		0	N/A		0	N/A	
16128336	b0351	NP_414885.1	acetaldehyde-CoA dehydrogenase II, NAD-binding	0	N/A		0	N/A		0	N/A	
16128337	b0352	NP_414886.1	4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase, class I	0	N/A		0	N/A		0	N/A	
90111117	b0353	NP_414887.2	predicted 3-hydroxyphenylpropionic transporter	0	N/A		0	N/A		0	N/A	
90111118	b0354	NP_414888.4	predicted protein	0	N/A		0	N/A		0	N/A	
16128340	b0355	NP_414889.1	S-formylglutathione hydrolase	1 to 2	RBB	YP_816035.1	1 to 1	RBB	WP_000323455.1	0	N/A	
16128341	b0356	NP_414890.1	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase	0	N/A		0	N/A		0	N/A	
162135894	b0357	NP_414891.4	regulator protein that represses frmRAB operon	1 to 2	RBB	YP_815531.1	1 to 2	RBB	WP_000138932.1	1 to 1	RBB	NP_391232.1
16128343	b0358	NP_414892.1	outer membrane protein	0	N/A		0	N/A		0	N/A	
145698224	b0360	NP_414894.2	IS2 repressor TnpA	0	N/A		0	N/A		0	N/A	
16128346	b0361	NP_414895.1	IS2 transposase TnpB	0	N/A		0	N/A		0	N/A	
16128348	b0363	NP_414897.1	predicted glucosyltransferase	0	N/A		0	N/A		0	N/A	
90111121	b0364	NP_414898.4	conserved protein	1 to 1	RBB	YP_816418.1	0	N/A		1 to 1	RBB	NP_390128.2
90111122	b0365	NP_414899.2	taurine transporter subunit	0	N/A		0	N/A		0	N/A	
16128351	b0366	NP_414900.1	taurine transporter subunit	0	N/A		0	N/A		1 to 1	RBB	NP_388763.3
16128352	b0367	NP_414901.1	taurine transporter subunit	1 to 2	RBB	YP_817411.1	1 to 2	RBB	WP_000197958.1	0	N/A	
16128353	b0368	NP_414902.1	taurine dioxygenase, 2-oxoglutarate-dependent	0	N/A		0	N/A		0	N/A	
90111123	b0369	NP_414903.4	5-aminolevulinate dehydratase (porphobilinogen synthase)	0	N/A		1 to 1	SSD	WP_000667126.1	1 to 1	SSD	NP_390691.1
16128357	b0372	NP_414906.1	IS3 transposase B	1 to 6	RBB	YP_816351.1	0	N/A		0	N/A	
226524701	b0373	NP_414907.2	IS3 transposase A	0	N/A		0	N/A		0	N/A	
226524702	b0375	NP_414909.2	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16128361	b0376	NP_414910.1	penicillin-binding protein	0	N/A		0	N/A		1 to 1	RBB	NP_389577.1
16128362	b0377	NP_414911.1	microcin B17 transporter	0	N/A		0	N/A		0	N/A	
16128363	b0378	NP_414912.1	probable lipoprotein required for swarming phenotype	0	N/A		0	N/A		0	N/A	
16128364	b0379	NP_414913.1	inner membrane protein, DUF2755 family	0	N/A		0	N/A		0	N/A	
90111125	b0380	NP_414914.2	predicted inner membrane protein, DUF2754 family	0	N/A		0	N/A		0	N/A	
16128366	b0381	NP_414915.1	D-alanine-D-alanine ligase A	1 to 1	Borderline-SSD	YP_816940.1	1 to 1	RBB	WP_000159631.1	1 to 1	RBB	NP_388337.1
16128367	b0382	NP_414916.1	anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein	0	N/A		0	N/A		0	N/A	
49176017	b0383	NP_414917.2	bacterial alkaline phosphatase	0	N/A		1 to 1	RBB	WP_000953744.1	1 to 2	SSD	NP_388455.2;NP_388822.2
162135895	b0384	NP_414918.4	conserved protein, PsiF family, pho regulon	0	N/A		0	N/A		0	N/A	
16128370	b0385	NP_414919.1	diguanylate cyclase for cellulose, biofilm, motility regulation	0	N/A		1 to 4	RBB	WP_000460983.1	0	N/A	
16128371	b0386	NP_414920.1	pyrroline-5-carboxylate reductase, NAD(P)-binding	1 to 1	SSD	YP_816307.1	1 to 1	RBB	WP_000779744.1	1 to 2	RBB	NP_389730.2;NP_390261.1
90111127	b0387	NP_414921.2	conserved protein, UPF0178 family, downregulated by beryllium	0	N/A		0	N/A		1 to 1	Non-SSD	NP_390401.2
16128373	b0388	NP_414922.1	shikimate kinase II	1 to 2	RBB	YP_816671.1	1 to 2	RBB	WP_001015117.1	0	N/A	
16128374	b0389	NP_414923.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128375	b0390	NP_414924.1	conserved protein, AroM family; regulated by aroR	0	N/A		0	N/A		0	N/A	
16128376	b0391	NP_414925.1	conserved protein, UPF0345 family	0	N/A		0	N/A		0	N/A	
16128378	b0393	NP_414927.1	nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function	0	N/A		0	N/A		0	N/A	
90111128	b0394	NP_414928.2	manno(fructo)kinase	1 to 2	RBB	YP_816079.1	0	N/A		0	N/A	
49176018	b0396	NP_414930.3	predicted transporter	0	N/A		1 to 4	RBB	WP_000026194.1	0	N/A	
16128382	b0397	NP_414931.1	exonuclease, dsDNA, ATP-dependent	0	N/A		1 to 1	RBB	WP_000803164.1	1 to 1	RBB	NP_388946.2
16128383	b0398	NP_414932.1	exonuclease, dsDNA, ATP-dependent	0	N/A		1 to 1	RBB	WP_000691284.1	1 to 1	RBB	NP_388945.3
16128384	b0399	NP_414933.1	DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)	0	N/A		1 to 1	RBB	WP_000064078.1	1 to 1	SSD	NP_390193.2
16128385	b0400	NP_414934.1	sensory histidine kinase in two-component regulatory system with PhoB	1 to 1	RBB	YP_816555.1	2 to 1	RBB	WP_000871602.1;WP_000975269.1	1 to 3	RBB	NP_390192.1;NP_390788.1;NP_391920.1
16128386	b0401	NP_414935.1	Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val	1 to 1	RBB	YP_816047.1	1 to 1	RBB	WP_000728173.1	1 to 2	RBB	NP_390546.1;NP_390838.1
16128387	b0402	NP_414936.1	proline-specific permease	0	N/A		0	N/A		1 to 1	RBB	NP_390931.1
16128388	b0403	NP_414937.1	maltodextrin glucosidase	0	N/A		0	N/A		0	N/A	
345452716	b0403	NP_414937.2	maltodextrin glucosidase	1 to 1	RBB	YP_816405.1	0	N/A		1 to 1	RBB	NP_391342.1
16128389	b0404	NP_414938.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128390	b0405	NP_414939.1	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	1 to 1	RBB	YP_816714.1	1 to 1	RBB	WP_001019172.1	1 to 1	SSD	NP_390650.1
16128391	b0406	NP_414940.1	tRNA-guanine transglycosylase	1 to 1	RBB	YP_817275.1	1 to 1	SSD	WP_001112045.1	1 to 1	SSD	NP_390649.1
16128392	b0407	NP_414941.1	SecYEG protein translocase auxillary subunit	1 to 1	RBB	YP_817245.1	1 to 1	RBB	WP_001160682.1	1 to 1	RBB	NP_390648.2
16128393	b0408	NP_414942.1	SecYEG protein translocase auxillary subunit	0	N/A		0	N/A		1 to 1	Non-SSD	NP_390643.1
16128394	b0409	NP_414943.1	SecYEG protein translocase auxillary subunit	0	N/A		1 to 1	RBB	WP_000749795.1	0	N/A	
16128395	b0410	NP_414944.1	conserved protein, HNH family	0	N/A		0	N/A		0	N/A	
16128396	b0411	NP_414945.1	nucleoside channel, receptor of phage T6 and colicin K	0	N/A		0	N/A		0	N/A	
90111129	b0412	NP_414946.4	predicted lipoprotein	0	N/A		0	N/A		0	N/A	
16128398	b0413	NP_414947.1	conserved protein	1 to 1	SSD	YP_816978.1	1 to 1	RBB	WP_000650082.1	1 to 1	SSD	NP_390778.1
16128399	b0414	NP_414948.1	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase	1 to 1	SSD	YP_815688.1	1 to 1	RBB	WP_000077344.1	1 to 1	SSD	NP_390209.1
16128400	b0415	NP_414949.1	riboflavin synthase beta chain	1 to 1	SSD	YP_815685.1	1 to 1	SSD	WP_001008551.1	1 to 1	SSD	NP_390206.1
16128401	b0416	NP_414950.1	transcription antitermination protein	1 to 1	SSD	YP_815903.1	1 to 1	RBB	WP_000087385.1	1 to 1	SSD	NP_390312.2
16128402	b0417	NP_414951.1	thiamin-monophosphate kinase	0	N/A		0	N/A		1 to 1	SSD	NP_388471.1
16128403	b0418	NP_414952.1	phosphatidylglycerophosphatase A	0	N/A		0	N/A		0	N/A	
90111130	b0419	NP_414953.2	2-carboxybenzaldehyde reductase, function unknown	0	N/A		0	N/A		1 to 1	RBB	NP_390562.2
16128405	b0420	NP_414954.1	1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring	1 to 1	Non-SSD	YP_817345.1	2 to 1	RBB	WP_001096642.1;WP_000068176.1	1 to 1	SSD	NP_390307.1
16128406	b0421	NP_414955.1	geranyltranstransferase	1 to 1	RBB	YP_816536.1	1 to 1	RBB	WP_000183378.1	1 to 1	SSD	NP_390308.2
16128407	b0422	NP_414956.1	exonuclease VII small subunit	1 to 1	RBB	YP_816537.1	0	N/A		1 to 1	RBB	NP_390309.2
16128408	b0423	NP_414957.1	tRNA s(4)U8 sulfurtransferase	1 to 1	RBB	YP_816262.1	1 to 1	SSD	WP_000872653.1	1 to 1	RBB	NP_390836.2
90111131	b0424	NP_414958.4	Oxidative-stress-resistance chaperone	1 to 1	RBB	YP_816201.1	0	N/A		0	N/A	
16128410	b0425	NP_414959.1	2-dehydropantoate reductase, NADPH-specific	0	N/A		1 to 1	RBB	WP_000953568.1	1 to 1	RBB	NP_389394.1
90111132	b0426	NP_414960.2	Phi6 host factor; binds ATP and GTP	0	N/A		0	N/A		1 to 1	RBB	NP_388983.1
90111133	b0427	NP_414961.4	predicted transporter	0	N/A		0	N/A		0	N/A	
16128413	b0428	NP_414962.1	protoheme IX farnesyltransferase	0	N/A		1 to 1	RBB	WP_000031401.1	1 to 1	SSD	NP_389090.2
16128414	b0429	NP_414963.1	cytochrome o ubiquinol oxidase subunit IV	0	N/A		0	N/A		1 to 1	RBB	NP_391693.1
16128415	b0430	NP_414964.1	cytochrome o ubiquinol oxidase subunit III	0	N/A		1 to 1	RBB	WP_000017736.1	1 to 2	RBB	NP_389374.1;NP_391694.1
16128416	b0431	NP_414965.1	cytochrome o ubiquinol oxidase subunit I	0	N/A		1 to 1	RBB	WP_001010762.1	1 to 1	RBB	NP_391695.1
16128417	b0432	NP_414966.1	cytochrome o ubiquinol oxidase subunit II	0	N/A		1 to 1	RBB	WP_000032836.1	1 to 1	RBB	NP_391696.2
16128418	b0433	NP_414967.1	muropeptide transporter	0	N/A		0	N/A		0	N/A	
90111134	b0434	NP_414968.4	predicted lipoprotein	0	N/A		0	N/A		0	N/A	
90111135	b0435	NP_414969.4	stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC	0	N/A		0	N/A		0	N/A	
16128421	b0436	NP_414970.1	peptidyl-prolyl cis/trans isomerase (trigger factor)	1 to 1	Borderline-SSD	YP_815875.1	1 to 1	RBB	WP_000127570.1	1 to 1	SSD	NP_390701.1
16128422	b0437	NP_414971.1	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	1 to 1	SSD	YP_816144.1	1 to 1	RBB	WP_001049165.1	1 to 1	SSD	NP_391334.1
16128423	b0438	NP_414972.1	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	1 to 1	SSD	YP_816859.1	1 to 1	RBB	WP_000472302.1	1 to 1	SSD	NP_390700.2
16128424	b0439	NP_414973.1	DNA-binding ATP-dependent protease La	0	N/A		0	N/A		1 to 1	RBB	NP_390698.1
16128425	b0440	NP_414974.1	HU, DNA-binding transcriptional regulator, beta subunit	1 to 2	RBB	YP_816472.1	1 to 1	RBB	WP_001043863.1	2 to 1	RBB	NP_390160.1
16128426	b0441	NP_414975.1	periplasmic folding chaperone, has an inactive PPIase domain	0	N/A		0	N/A		1 to 1	RBB	NP_387953.1
