Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
16128057	b0063	NP_414605.1	L-ribulokinase	0	N/A		0	N/A		1 to 1	RBB	WP_014846861.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128058	b0064	NP_414606.1	DNA-binding transcriptional dual regulator	0	N/A		0	N/A		1 to 1	RBB	WP_014847112.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012018907.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128059	b0065	NP_414607.1	inner membrane protein, SNARE_assoc family	1 to 1	SSD	WP_014854285.1	1 to 1	RBB	WP_003100297.1	0	N/A		1 to 1	RBB	WP_013974363.1	1 to 1	RBB	WP_003093210.1	0	N/A		1 to 1	Borderline-SSD	WP_012019724.1	1 to 1	RBB	WP_012074421.1	0	N/A		1 to 1	RBB	WP_003110372.1	1 to 1	RBB	NP_746918.1	0	N/A	
16128060	b0066	NP_414608.1	thiamin transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128061	b0067	NP_414609.1	fused thiamin transporter subunits of ABC superfamily: membrane components	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_275018.1	0	N/A		0	N/A		1 to 1	RBB	YP_209091.1
16128062	b0068	NP_414610.1	thiamin transporter subunit	0	N/A		1 to 1	RBB	WP_003117420.1	0	N/A		0	N/A		1 to 1	RBB	WP_031627775.1	0	N/A		0	N/A		1 to 1	RBB	WP_012077449.1	1 to 1	Non-SSD	NP_273107.1	1 to 1	RBB	WP_031627775.1	0	N/A		1 to 1	RBB	YP_209075.1
16128063	b0069	NP_414611.1	transcriptional DNA-binding transcriptional activator of sgrS sRNA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49175994	b0070	YP_025293.1	broad specificity sugar efflux system	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128065	b0071	NP_414613.1	3-isopropylmalate dehydratase small subunit	1 to 1	RBB	WP_014852277.1	1 to 1	SSD	WP_003091398.1	1 to 1	RBB	WP_014846401.1	1 to 1	SSD	WP_015269431.1	1 to 1	SSD	WP_003091398.1	1 to 1	RBB	WP_012731842.1	1 to 1	RBB	WP_003243622.1	1 to 1	Borderline-SSD	WP_003155359.1	1 to 1	SSD	NP_274068.1	1 to 1	SSD	WP_003138498.1	1 to 1	SSD	NP_744137.1	1 to 1	SSD	YP_207816.1
16128066	b0072	NP_414614.1	3-isopropylmalate dehydratase large subunit	1 to 1	RBB	WP_014852276.1	1 to 1	SimNSSD	WP_003116442.1	1 to 1	RBB	WP_014846400.1	1 to 1	Borderline-SSD	WP_013971600.1	1 to 1	SimNSSD	WP_003091399.1	1 to 1	RBB	WP_041629399.1	1 to 1	RBB	WP_012018948.1	1 to 1	SimNSSD	WP_003155361.1	1 to 1	SSD	NP_274070.1	1 to 1	SimNSSD	WP_003091399.1	1 to 1	Borderline-SSD	NP_744136.1	1 to 1	Borderline-SSD	YP_207818.1
90111082	b0073	NP_414615.4	3-isopropylmalate dehydrogenase, NAD(+)-dependent	1 to 1	RBB	WP_014852278.1	1 to 1	Borderline-SSD	WP_003116443.1	0	N/A		1 to 1	Borderline-SSD	WP_013971603.1	1 to 1	Borderline-SSD	WP_003091395.1	0	N/A		1 to 1	RBB	WP_012018947.1	1 to 1	Borderline-SSD	WP_012075054.1	1 to 1	SSD	NP_274065.1	1 to 1	Borderline-SSD	WP_003091395.1	1 to 1	Borderline-SSD	NP_744139.1	1 to 1	Borderline-SSD	YP_207813.1
16128068	b0074	NP_414616.1	2-isopropylmalate synthase	1 to 1	RBB	WP_014853846.1	1 to 1	RBB	WP_003116357.1	1 to 1	RBB	WP_014846735.1	2 to 1	Non-SSD	WP_044047237.1;WP_013971133.1	1 to 1	RBB	WP_003086676.1	1 to 1	RBB	WP_012730860.1	1 to 1	RBB	WP_011921073.1	2 to 1	RBB	WP_012075129.1;WP_012074569.1	1 to 1	SSD	NP_274103.1	1 to 1	RBB	WP_003086676.1	1 to 1	Non-SSD	NP_743186.1	1 to 1	Borderline-SSD	YP_207965.1
16128069	b0075	NP_414617.1	leu operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111083	b0076	NP_414618.4	DNA-binding transcriptional activator	2 to 1	RBB	WP_014852747.1;WP_014854515.1	5 to 1	RBB	WP_003095545.1;WP_014833921.1;WP_014834034.1;WP_003082907.1;WP_003090000.1	0	N/A		4 to 1	RBB	WP_013973160.1;WP_013973059.1;WP_013972367.1;WP_013972998.1	6 to 1	RBB	WP_033936894.1;WP_003110953.1;WP_003086983.1;WP_003088838.1;WP_003095545.1;WP_003090000.1	0	N/A		2 to 1	SSD	WP_012019320.1;WP_012018750.1	5 to 1	RBB	WP_012077603.1;WP_012075944.1;WP_003149336.1;WP_012076456.1;WP_012074912.1	0	N/A		4 to 1	RBB	WP_003122789.1;WP_003138279.1;WP_003139057.1;WP_003140315.1	7 to 1	RBB	NP_745805.1;NP_744584.1;NP_745744.1;NP_744970.1;NP_745141.1;NP_744196.1;NP_744094.1	0	N/A	
90111084	b0077	YP_025294.2	acetolactate synthase III, large subunit	1 to 1	RBB	WP_014851752.1	1 to 1	SSD	WP_003095071.1	1 to 1	RBB	WP_014846384.1	1 to 1	SSD	WP_015271834.1	1 to 1	SSD	WP_003095071.1	1 to 1	RBB	WP_012731870.1	1 to 1	RBB	WP_011921087.1	1 to 1	SSD	WP_012077454.1	1 to 1	SSD	NP_274583.1	1 to 1	SSD	WP_003095071.1	1 to 1	SSD	NP_746789.1	1 to 1	SSD	YP_208307.1
16128071	b0078	NP_414620.1	acetolactate synthase III, thiamin-dependent, small subunit	1 to 1	RBB	WP_014851753.1	1 to 1	SSD	WP_003095069.1	1 to 1	RBB	WP_041696374.1	1 to 1	SSD	WP_003250040.1	1 to 1	SSD	WP_003095069.1	1 to 1	RBB	WP_012731869.1	1 to 1	RBB	WP_003243161.1	1 to 1	SSD	WP_003095069.1	1 to 1	SSD	NP_274582.1	1 to 1	SSD	WP_003095069.1	1 to 1	SSD	NP_746788.1	1 to 1	SSD	YP_208306.1
16128073	b0080	NP_414622.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 1	RBB	WP_003104372.1	0	N/A		1 to 1	RBB	WP_013970960.1	1 to 1	RBB	WP_041025748.1	0	N/A		1 to 1	RBB	WP_011920946.1	1 to 1	RBB	WP_012074749.1	0	N/A		1 to 1	RBB	WP_003104372.1	1 to 1	RBB	NP_742953.1	0	N/A	
16128074	b0081	NP_414623.1	conserved protein, MraZ family	1 to 1	SSD	WP_014851708.1	1 to 1	SSD	WP_003103101.1	1 to 1	RBB	WP_014846930.1	1 to 1	SSD	WP_004575120.1	1 to 1	SSD	WP_003103101.1	1 to 1	RBB	WP_012731383.1	1 to 1	SSD	WP_003242968.1	1 to 1	SSD	WP_003103101.1	1 to 1	RBB	NP_273459.1	1 to 1	SSD	WP_003103101.1	1 to 1	SSD	NP_743487.1	1 to 1	RBB	YP_208593.1
16128075	b0082	NP_414624.1	16S rRNA m(4)C1402 methyltranserfase, SAM-dependent	1 to 1	SSD	WP_014851709.1	1 to 1	SSD	WP_003112750.1	1 to 1	RBB	WP_014846929.1	1 to 1	SSD	WP_013974118.1	1 to 1	SSD	WP_031628005.1	1 to 1	RBB	WP_012731384.1	1 to 1	SSD	WP_011921024.1	1 to 1	SSD	WP_003150406.1	1 to 1	SSD	NP_273460.1	1 to 1	SSD	WP_031632714.1	1 to 1	SSD	NP_743488.1	1 to 1	SSD	YP_208592.1
16128076	b0083	NP_414625.1	membrane bound cell division protein at septum containing leucine zipper motif	1 to 1	RBB	WP_014851710.1	1 to 1	RBB	WP_003116209.1	0	N/A		0	N/A		1 to 1	RBB	WP_003094142.1	0	N/A		1 to 1	RBB	WP_003242971.1	1 to 1	RBB	WP_003150404.1	0	N/A		1 to 1	RBB	WP_003094142.1	0	N/A		0	N/A	
16128077	b0084	NP_414626.1	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	1 to 1	SSD	WP_014851711.1	2 to 1	SSD	WP_003110751.1;WP_014834115.1	1 to 2	RBB	WP_014847668.1	1 to 1	SSD	WP_013974117.1	2 to 1	SSD	WP_003089297.1;WP_014603572.1	1 to 1	RBB	WP_012731386.1	1 to 1	SSD	WP_003242973.1	2 to 1	RBB	WP_012077196.1;WP_012075746.1	1 to 1	SSD	NP_273462.1	2 to 1	RBB	WP_003094139.1;WP_003110751.1	1 to 1	SSD	NP_743490.1	1 to 1	SSD	YP_208590.1
16128078	b0085	NP_414627.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	1 to 1	SSD	WP_014851712.1	1 to 1	SSD	WP_003094133.1	1 to 1	RBB	WP_041697593.1	1 to 1	SSD	WP_024087705.1	1 to 1	SSD	WP_003094133.1	1 to 1	RBB	WP_012731387.1	1 to 1	SSD	WP_011921025.1	1 to 1	SSD	WP_012077195.1	1 to 1	SSD	NP_273463.1	1 to 1	SSD	WP_003094133.1	1 to 1	SSD	NP_743491.1	1 to 1	SSD	YP_208589.1
16128079	b0086	NP_414628.1	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	1 to 1	SSD	WP_014851713.1	1 to 1	SSD	WP_003116208.1	1 to 1	RBB	WP_014846926.1	1 to 1	SSD	WP_023661970.1	1 to 1	SSD	WP_003094130.1	1 to 1	RBB	WP_012731388.1	1 to 1	SSD	WP_011921026.1	1 to 1	SSD	WP_012077194.1	1 to 1	SSD	NP_273464.1	1 to 1	SSD	WP_003094130.1	1 to 1	SSD	NP_743492.1	1 to 1	SSD	YP_208587.1
16128080	b0087	NP_414629.1	phospho-N-acetylmuramoyl-pentapeptide transferase	1 to 1	SSD	WP_014851714.1	1 to 1	SSD	WP_003094129.1	1 to 1	RBB	WP_014846925.1	1 to 1	SSD	WP_013974114.1	1 to 1	SSD	WP_003094129.1	1 to 1	RBB	WP_012731389.1	1 to 1	SSD	WP_003242979.1	1 to 1	SSD	WP_003094129.1	1 to 1	SSD	NP_273466.1	1 to 1	SSD	WP_003094129.1	1 to 1	SSD	NP_743493.1	1 to 1	SSD	YP_208585.1
16128081	b0088	NP_414630.1	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	1 to 1	SSD	WP_014851715.1	1 to 1	SSD	WP_003103104.1	1 to 1	RBB	WP_041696510.1	1 to 1	SSD	WP_024087703.1	1 to 1	SSD	WP_003094127.1	1 to 1	RBB	WP_012731390.1	1 to 1	SSD	WP_011921027.1	1 to 1	SSD	WP_003103104.1	1 to 1	SSD	NP_273468.1	1 to 1	SSD	WP_003141276.1	1 to 1	SSD	NP_743494.1	1 to 1	SSD	YP_208583.1
16128082	b0089	NP_414631.1	integral membrane protein involved in stabilizing FstZ ring during cell division	1 to 1	SSD	WP_014851716.1	1 to 1	SSD	WP_003094125.1	1 to 1	RBB	WP_014846923.1	1 to 1	SSD	WP_013974112.1	1 to 1	SSD	WP_003094125.1	1 to 1	RBB	WP_012731391.1	1 to 1	Borderline-SSD	WP_011921028.1	1 to 1	SSD	WP_003094125.1	1 to 1	SSD	NP_273469.1	1 to 1	SSD	WP_003094125.1	1 to 1	SSD	NP_743495.1	1 to 1	RBB	YP_208582.1
16128083	b0090	NP_414632.1	N-acetylglucosaminyl transferase	1 to 1	SSD	WP_014851717.1	1 to 1	SSD	WP_003103107.1	1 to 1	RBB	WP_014846922.1	1 to 1	SSD	WP_013974111.1	1 to 1	SSD	WP_014603573.1	1 to 1	RBB	WP_012731392.1	1 to 1	SSD	WP_011921029.1	1 to 1	SSD	WP_012077193.1	1 to 1	SSD	NP_273470.1	1 to 1	SSD	WP_003103107.1	1 to 1	SSD	NP_743496.1	1 to 1	SSD	YP_208581.1
16128084	b0091	NP_414633.1	UDP-N-acetylmuramate:L-alanine ligase	1 to 1	SSD	WP_014851718.1	1 to 1	SSD	WP_003094121.1	1 to 1	RBB	WP_014846921.1	1 to 1	SSD	WP_013974110.1	1 to 1	SSD	WP_003094121.1	1 to 1	RBB	WP_041629227.1	1 to 1	SSD	WP_003242986.1	1 to 1	SSD	WP_012077192.1	1 to 1	SSD	NP_273471.2	1 to 1	SSD	WP_003094121.1	1 to 1	SSD	NP_743497.1	1 to 1	SSD	YP_208580.3
16128085	b0092	NP_414634.1	D-alanine:D-alanine ligase	1 to 1	RBB	WP_014851719.1	1 to 1	SSD	WP_003116207.1	0	N/A		1 to 1	Borderline-SSD	WP_013974109.1	1 to 1	SSD	WP_003094120.1	0	N/A		1 to 1	RBB	WP_003242988.1	1 to 1	Borderline-SSD	WP_012077191.1	1 to 1	SSD	NP_273472.1	1 to 1	SSD	WP_003141273.1	1 to 1	Borderline-SSD	NP_743498.1	1 to 1	SSD	YP_208579.1
16128086	b0093	NP_414635.1	Divisome assembly protein, membrane anchored protein involved in growth of wall at septum	1 to 1	SSD	WP_014851720.1	1 to 1	SSD	WP_003094118.1	0	N/A		1 to 1	SSD	WP_012274056.1	1 to 1	SSD	WP_003094118.1	0	N/A		1 to 1	SSD	WP_011921030.1	1 to 1	SSD	WP_012077190.1	1 to 1	SSD	NP_273473.1	1 to 1	SSD	WP_003094118.1	1 to 1	SSD	NP_743499.1	1 to 1	RBB	YP_208578.1
16128087	b0094	NP_414636.1	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	1 to 1	Non-SSD	WP_014851721.1	1 to 1	Borderline-SSD	WP_003094115.1	0	N/A		1 to 1	Borderline-SSD	WP_015271706.1	1 to 1	Borderline-SSD	WP_003094115.1	0	N/A		1 to 1	Non-SSD	WP_003242991.1	1 to 1	Borderline-SSD	WP_003094115.1	1 to 1	SSD	NP_273474.1	1 to 1	Borderline-SSD	WP_003094115.1	1 to 1	Borderline-SSD	NP_743500.1	1 to 1	SSD	YP_208577.1
16128088	b0095	NP_414637.1	GTP-binding tubulin-like cell division protein	1 to 1	SSD	WP_014851722.1	1 to 1	SSD	WP_003094113.1	1 to 1	RBB	WP_014846919.1	1 to 1	SSD	WP_003260772.1	1 to 1	SSD	WP_003094113.1	1 to 1	RBB	WP_012731395.1	1 to 1	Borderline-SSD	WP_003242992.1	1 to 1	SSD	WP_003150393.1	1 to 1	SSD	NP_273475.1	1 to 1	SSD	WP_011666751.1	1 to 1	SSD	NP_743501.1	1 to 1	SSD	YP_208576.1
16128089	b0096	NP_414638.1	UDP-3-O-acyl N-acetylglucosamine deacetylase	1 to 1	SSD	WP_014851723.1	1 to 1	RBB	WP_003094111.1	0	N/A		1 to 1	RBB	WP_003260771.1	1 to 1	RBB	WP_003094111.1	0	N/A		1 to 1	Borderline-SSD	WP_003242994.1	1 to 1	RBB	WP_003150391.1	1 to 1	SSD	NP_273083.1	1 to 1	RBB	WP_003141270.1	1 to 1	RBB	NP_743502.1	1 to 1	SSD	YP_209080.1
90111085	b0097	NP_414639.2	regulator of secA translation	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128091	b0098	NP_414640.1	preprotein translocase subunit, ATPase	1 to 1	SSD	WP_014853786.1	1 to 1	SSD	WP_003112752.1	1 to 1	RBB	WP_041697444.1	1 to 1	SSD	WP_015271704.1	1 to 1	SSD	WP_003094098.1	1 to 1	RBB	WP_012732116.1	1 to 1	SSD	WP_003242999.1	1 to 1	SSD	WP_012077187.1	1 to 1	SSD	NP_274543.1	1 to 1	SSD	WP_003141268.1	1 to 1	SSD	NP_743504.2	1 to 1	SSD	YP_208092.1
16128092	b0099	NP_414641.1	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	1 to 1	SSD	WP_014853784.1	1 to 1	RBB	WP_003116202.1	1 to 2	RBB	WP_014848005.1	1 to 1	RBB	WP_013974103.1	1 to 1	RBB	WP_003094090.1	0	N/A		1 to 1	SSD	WP_011921035.1	1 to 1	RBB	WP_012077185.1	0	N/A		1 to 1	RBB	WP_003110158.1	1 to 1	RBB	NP_743507.1	0	N/A	
16128094	b0101	NP_414643.1	DNA gyrase inhibitor	1 to 1	SSD	WP_014851684.1	1 to 1	SSD	WP_003094656.1	0	N/A		1 to 1	SSD	WP_003260624.1	1 to 1	SSD	WP_003094656.1	0	N/A		1 to 1	SSD	WP_003242724.1	1 to 1	SSD	WP_003094656.1	1 to 1	RBB	NP_273379.1	1 to 1	SSD	WP_003094656.1	1 to 1	SSD	NP_742791.1	1 to 1	Borderline-SSD	YP_208709.1
16128095	b0102	NP_414644.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128096	b0103	NP_414645.1	dephospho-CoA kinase	1 to 1	SSD	WP_014851683.1	1 to 1	SSD	WP_003112838.1	1 to 1	RBB	WP_014846902.1	1 to 1	SSD	WP_013970769.1	1 to 1	SSD	WP_003094654.1	1 to 1	RBB	WP_041629260.1	1 to 1	SSD	WP_011920935.1	1 to 1	SSD	WP_003152767.1	1 to 1	SSD	NP_273380.1	1 to 1	SSD	WP_003094654.1	1 to 1	SSD	NP_742792.1	1 to 1	SSD	YP_208708.1
16128097	b0104	NP_414646.1	GMP reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128099	b0106	NP_414648.1	assembly protein in type IV pilin biogenesis, transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128100	b0107	NP_414649.1	conserved protein with nucleoside triphosphate hydrolase domain	1 to 1	Non-SSD	WP_014851680.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_041629654.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128101	b0108	NP_414650.1	predicted major pilin subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_273084.1	0	N/A		0	N/A		1 to 2	RBB	YP_207607.1;YP_208495.1
16128102	b0109	NP_414651.1	quinolinate phosphoribosyltransferase	1 to 1	SSD	WP_014851574.1	1 to 1	SSD	WP_003116246.1	0	N/A		1 to 1	SSD	WP_004376060.1	1 to 1	SSD	WP_003094645.1	0	N/A		1 to 1	SSD	WP_011920940.1	1 to 1	SSD	WP_003152758.1	1 to 1	RBB	NP_273445.1	1 to 1	SSD	WP_003141348.1	1 to 1	SSD	NP_742948.1	1 to 1	Non-SSD	YP_208610.1
16128103	b0110	NP_414652.1	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	1 to 1	RBB	WP_014851581.1	1 to 1	SSD	WP_003116245.1	0	N/A		1 to 1	SSD	WP_023662425.1	1 to 1	SSD	WP_003094640.1	0	N/A		1 to 1	RBB	WP_003242745.1	1 to 1	SSD	WP_012077274.1	1 to 1	RBB	NP_273710.1	1 to 1	SSD	WP_003112844.1	1 to 1	SSD	NP_742950.1	1 to 1	RBB	YP_207402.1
16128104	b0111	NP_414653.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128105	b0112	NP_414654.1	aromatic amino acid transporter	1 to 1	RBB	WP_014852028.1	1 to 2	RBB	YP_006484243	0	N/A		1 to 1	RBB	WP_013971058.1	2 to 1	RBB	WP_003091187.1;WP_003085884.1	0	N/A		0	N/A		2 to 1	RBB	WP_012075154.1;WP_012076961.1	0	N/A		2 to 1	RBB	WP_003085884.1;WP_003091187.1	1 to 1	RBB	NP_743088.1	0	N/A	
16128106	b0113	NP_414655.1	DNA-binding transcriptional dual regulator	1 to 1	RBB	WP_043942658.1	1 to 1	RBB	WP_003095221.1	1 to 4	RBB	WP_014846322.1	1 to 1	RBB	WP_013974301.1	1 to 1	RBB	WP_003095221.1	0	N/A		1 to 1	RBB	WP_003240520.1	1 to 1	RBB	WP_012077500.1	1 to 2	Borderline-SSD	NP_274714.1	1 to 1	RBB	WP_003095221.1	1 to 1	RBB	NP_746842.1	2 to 1	RBB	YP_208420.1
16128107	b0114	NP_414656.1	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	1 to 1	SSD	WP_014851321.1	1 to 1	Borderline-SSD	WP_003114556.1	1 to 1	RBB	WP_041697437.1	1 to 1	SSD	WP_003258640.1	1 to 1	Borderline-SSD	WP_003095785.1	1 to 1	RBB	WP_012731322.1	1 to 1	SSD	WP_011920792.1	1 to 1	Borderline-SSD	WP_033999948.1	1 to 1	RBB	NP_274360.1	1 to 1	Borderline-SSD	WP_003114556.1	1 to 1	SSD	NP_742506.1	1 to 1	RBB	YP_207710.1
16128108	b0115	NP_414657.1	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	1 to 1	SSD	WP_014851320.1	1 to 1	SSD	WP_003115359.1	0	N/A		1 to 1	SSD	WP_013970534.1	1 to 1	SSD	WP_014603512.1	0	N/A		1 to 1	SSD	WP_011920791.1	1 to 1	SSD	WP_012077699.1	1 to 1	SSD	NP_274361.1	1 to 1	SSD	WP_003125595.1	1 to 1	SSD	NP_742505.1	1 to 1	RBB	YP_207709.1
16128109	b0116	NP_414658.1	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	1 to 1	Non-SSD	WP_014853551.1	2 to 1	RBB	WP_003087422.1;WP_003104331.1	1 to 1	RBB	WP_014845749.1	2 to 1	RBB	WP_013974854.1;WP_013973439.1	2 to 1	RBB	WP_003104331.1;WP_003087422.1	1 to 1	RBB	WP_012732565.1	2 to 1	RBB	WP_003240845.1;WP_012017786.1	1 to 1	RBB	WP_003087422.1	1 to 1	RBB	NP_274363.1	2 to 1	RBB	WP_003087422.1;WP_016254379.1	2 to 1	RBB	NP_747467.1;NP_746304.1	1 to 1	RBB	YP_207707.1
16128110	b0117	NP_414659.1	predicted protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972495.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_745655.1	0	N/A	
16128111	b0118	NP_414660.1	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	1 to 1	RBB	WP_014853056.1	1 to 1	RBB	WP_003087875.1	0	N/A		2 to 1	RBB	WP_038410410.1;WP_023661205.1	1 to 1	RBB	WP_003087875.1	0	N/A		1 to 1	RBB	WP_012018838.1	1 to 1	RBB	WP_012076184.1	1 to 1	RBB	NP_274578.1	1 to 1	RBB	WP_003087875.1	1 to 1	RBB	NP_744488.1	1 to 1	RBB	YP_208302.1
90111086	b0119	NP_414661.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128113	b0120	NP_414662.1	S-adenosylmethionine decarboxylase	0	N/A		1 to 1	RBB	WP_003101641.1	0	N/A		0	N/A		1 to 1	RBB	WP_003085223.1	0	N/A		0	N/A		1 to 1	RBB	WP_003150131.1	0	N/A		1 to 1	RBB	WP_003085223.1	0	N/A		0	N/A	
16128114	b0121	NP_414663.1	spermidine synthase (putrescine aminopropyltransferase)	1 to 1	RBB	WP_014853124.1	1 to 1	RBB	WP_003103196.1	0	N/A		1 to 1	SSD	WP_015269377.1	1 to 1	RBB	WP_003087661.1	0	N/A		1 to 1	RBB	WP_041773077.1	1 to 1	RBB	WP_003152170.1	1 to 1	RBB	NP_273910.1	1 to 1	RBB	WP_003103196.1	1 to 1	Borderline-SSD	NP_744022.1	1 to 1	Non-SSD	YP_207589.1
90111087	b0122	NP_414664.4	conserved protein, PulS_OutS family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128116	b0123	NP_414665.1	multicopper oxidase (laccase)	2 to 2	RBB	WP_014853468.1;WP_014597614.1	3 to 1	Borderline-SSD	WP_003097515.1;WP_003118531.1;WP_003137910.1	1 to 1	RBB	WP_014845805.1	3 to 1	RBB	WP_044047191.1;WP_013970689.1;WP_013971156.1	2 to 2	RBB	WP_003088739.1;WP_003092698.1	1 to 1	RBB	WP_012732538.1	3 to 1	RBB	WP_012018610.1;WP_012018896.1;WP_012019471.1	2 to 2	RBB	WP_012075989.1;WP_012074592.1	0	N/A		2 to 1	RBB	WP_003137910.1;WP_003139647.1	3 to 1	RBB	NP_743195.1;NP_747481.1;NP_744354.1	0	N/A	
