Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16128085	b0092	NP_414634.1	D-alanine:D-alanine ligase	0	N/A		1 to 1	SSD	YP_005235789	1 to 1	SSD	NP_459135.1	1 to 1	RBB	NP_253100.1	1 to 1	SSD	YP_001086325	1 to 1	RBB	YP_002385588	1 to 1	SSD	WP_003141273.1
16128086	b0093	NP_414635.1	Divisome assembly protein, membrane anchored protein involved in growth of wall at septum	0	N/A		1 to 1	SSD	YP_005235790	1 to 1	SSD	NP_459136.1	1 to 1	SSD	NP_253099.1	1 to 1	SSD	YP_001086324	1 to 1	RBB	YP_002385589	1 to 1	SSD	WP_003094118.1
16128087	b0094	NP_414636.1	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	0	N/A		1 to 1	SSD	YP_005235791	1 to 1	SSD	NP_459137.1	1 to 1	Non-SSD	NP_253098.1	1 to 1	SSD	YP_001086323	1 to 1	RBB	YP_002385590	1 to 1	Borderline-SSD	WP_003094115.1
16128088	b0095	NP_414637.1	GTP-binding tubulin-like cell division protein	1 to 1	RBB	WP_003411144.1	1 to 1	Borderline-SSD	YP_005235792	1 to 1	Borderline-SSD	NP_459138.1	1 to 1	SSD	NP_253097.1	1 to 1	SSD	YP_001086322	1 to 1	RBB	YP_002385591	1 to 1	SSD	WP_011666751.1
16128089	b0096	NP_414638.1	UDP-3-O-acyl N-acetylglucosamine deacetylase	0	N/A		1 to 1	SSD	YP_005235793	1 to 1	SSD	NP_459139.1	1 to 1	SSD	NP_253096.1	1 to 1	SSD	YP_001086321	1 to 1	RBB	YP_002385592	1 to 1	RBB	WP_003141270.1
90111085	b0097	NP_414639.2	regulator of secA translation	0	N/A		1 to 1	SSD	YP_005235794	1 to 1	SSD	NP_459140.2	0	N/A		0	N/A		1 to 1	RBB	YP_002385593	0	N/A	
16128091	b0098	NP_414640.1	preprotein translocase subunit, ATPase	1 to 1	RBB	WP_003901576.1	1 to 1	SSD	YP_005235795	1 to 1	SSD	NP_459141.1	1 to 1	SSD	NP_253093.1	1 to 1	SSD	YP_001085870	1 to 1	RBB	YP_002385594	1 to 1	SSD	WP_003141268.1
16128092	b0099	NP_414641.1	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	0	N/A		1 to 1	Borderline-SSD	YP_005235796	1 to 1	Borderline-SSD	NP_459142.1	1 to 1	SSD	NP_253090.1	1 to 1	SSD	YP_001085311	1 to 1	RBB	YP_002385595	1 to 1	RBB	WP_003110158.1
16128094	b0101	NP_414643.1	DNA gyrase inhibitor	0	N/A		1 to 1	SSD	YP_005235798	1 to 1	SSD	NP_459143.1	1 to 1	SSD	NP_253220.1	1 to 1	SSD	YP_001083445	0	N/A		1 to 1	SSD	WP_003094656.1
16128095	b0102	NP_414644.1	conserved protein	0	N/A		1 to 1	SSD	YP_005235799	1 to 1	SSD	NP_459144.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385596	0	N/A	
16128096	b0103	NP_414645.1	dephospho-CoA kinase	1 to 1	RBB	WP_003408069.1	1 to 1	SSD	YP_005235800	1 to 1	SSD	NP_459145.1	1 to 1	SSD	NP_253219.1	1 to 1	SSD	YP_001083392	1 to 1	RBB	YP_002385597	1 to 1	SSD	WP_003094654.1
16128097	b0104	NP_414646.1	GMP reductase	0	N/A		1 to 1	SSD	YP_005235801	1 to 1	SSD	NP_459146.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385598	0	N/A	
16128099	b0106	NP_414648.1	assembly protein in type IV pilin biogenesis, transmembrane protein	0	N/A		1 to 1	SSD	YP_005235802	1 to 1	SSD	NP_459147.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385599	0	N/A	
16128100	b0107	NP_414649.1	conserved protein with nucleoside triphosphate hydrolase domain	0	N/A		1 to 1	SSD	YP_005235803	1 to 1	SSD	NP_459148.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385600	0	N/A	
16128101	b0108	NP_414650.1	predicted major pilin subunit	0	N/A		1 to 1	SSD	YP_005235804	1 to 1	SSD	NP_459149.1	1 to 1	RBB	NP_253215.1	1 to 1	RBB	YP_001086176	1 to 1	RBB	YP_002385601	0	N/A	
16128102	b0109	NP_414651.1	quinolinate phosphoribosyltransferase	1 to 1	RBB	WP_003898939.1	1 to 1	Borderline-SSD	YP_005235806	1 to 1	Borderline-SSD	NP_459150.1	1 to 1	SSD	NP_253214.1	1 to 1	RBB	YP_001083141	1 to 1	RBB	YP_002385602	1 to 1	SSD	WP_003141348.1
16128103	b0110	NP_414652.1	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	0	N/A		1 to 1	SSD	YP_005235807	1 to 1	SSD	NP_459151.1	1 to 1	RBB	NP_253212.1	1 to 1	SSD	YP_001083142	1 to 1	RBB	YP_002385603	1 to 1	SSD	WP_003112844.1
16128104	b0111	NP_414653.1	predicted inner membrane protein	0	N/A		1 to 1	SSD	YP_005235808	1 to 1	SSD	NP_459152.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385604	0	N/A	
16128105	b0112	NP_414654.1	aromatic amino acid transporter	0	N/A		1 to 1	Borderline-SSD	YP_005235812	1 to 1	Borderline-SSD	NP_459155.1	2 to 1	RBB	NP_251690.1;NP_249557.1	1 to 2	RBB	YP_001086404	1 to 1	RBB	YP_002385605	2 to 1	RBB	WP_003085884.1;WP_003091187.1
16128106	b0113	NP_414655.1	DNA-binding transcriptional dual regulator	1 to 5	RBB	WP_003898483.1	1 to 1	SSD	YP_005235814	1 to 1	SSD	NP_459156.1	1 to 1	RBB	NP_253457.1	0	N/A		1 to 1	RBB	YP_002385606	1 to 1	RBB	WP_003095221.1
16128107	b0114	NP_414656.1	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	1 to 1	RBB	WP_003911788.1	1 to 1	Borderline-SSD	YP_005235815	1 to 1	Borderline-SSD	NP_459157.1	1 to 1	SSD	NP_253702.1	1 to 1	SSD	YP_001086319	1 to 1	RBB	YP_002385608	1 to 1	Borderline-SSD	WP_003114556.1
16128108	b0115	NP_414657.1	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0	N/A		1 to 1	SSD	YP_005235816	1 to 1	SSD	NP_459158.1	1 to 1	SSD	NP_253703.1	1 to 1	SSD	YP_001086318	1 to 1	RBB	YP_002385609	1 to 1	SSD	WP_003125595.1
16128109	b0116	NP_414658.1	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	1 to 1	RBB	WP_003402301.1	1 to 1	SSD	YP_005235817	1 to 1	SSD	NP_459159.1	2 to 1	RBB	NP_250278.1;NP_253516.1	1 to 1	RBB	YP_001085732	1 to 1	RBB	YP_002385610	2 to 1	RBB	WP_003087422.1;WP_016254379.1
16128110	b0117	NP_414659.1	predicted protein	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_459162.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385611	0	N/A	
16128111	b0118	NP_414660.1	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	0	N/A		1 to 1	Borderline-SSD	YP_005235821	1 to 1	Borderline-SSD	NP_459163.1	1 to 1	RBB	NP_250478.1	1 to 1	SSD	YP_001085156	1 to 1	RBB	YP_002385612	1 to 1	RBB	WP_003087875.1
90111086	b0119	NP_414661.2	conserved protein	0	N/A		1 to 1	Borderline-SSD	YP_005235823	1 to 1	Borderline-SSD	NP_459165.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385613	0	N/A	
16128113	b0120	NP_414662.1	S-adenosylmethionine decarboxylase	0	N/A		1 to 1	SSD	YP_005235828	1 to 1	SSD	NP_459170.1	1 to 1	RBB	NP_249345.1	0	N/A		1 to 1	RBB	YP_002385614	1 to 1	RBB	WP_003085223.1
16128114	b0121	NP_414663.1	spermidine synthase (putrescine aminopropyltransferase)	1 to 1	RBB	WP_003899392.1	1 to 1	SSD	YP_005235829	1 to 1	SSD	NP_459171.1	1 to 1	RBB	NP_250378.1	0	N/A		1 to 1	RBB	YP_002385615	1 to 1	RBB	WP_003103196.1
90111087	b0122	NP_414664.4	conserved protein, PulS_OutS family	0	N/A		1 to 1	SSD	YP_005235830	1 to 1	SSD	NP_459172.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385616	0	N/A	
16128116	b0123	NP_414665.1	multicopper oxidase (laccase)	1 to 1	RBB	WP_003404392.1	1 to 1	SSD	YP_005235831	1 to 1	SSD	NP_459173.1	2 to 1	SSD	NP_250755.1;NP_252457.1	1 to 2	RBB	YP_001085943	1 to 1	RBB	YP_002385617	2 to 1	RBB	WP_003137910.1;WP_003139647.1
16128117	b0124	NP_414666.1	glucose dehydrogenase	0	N/A		1 to 1	SSD	YP_005235832	1 to 1	SSD	NP_459174.1	1 to 1	RBB	NP_250980.1	1 to 1	RBB	YP_001085855	1 to 1	RBB	YP_002385618	1 to 1	RBB	WP_003131774.1
90111088	b0125	NP_414667.4	hypoxanthine phosphoribosyltransferase	1 to 1	RBB	WP_003912454.1	1 to 1	SSD	YP_005235833	1 to 1	SSD	NP_459175.1	0	N/A		1 to 1	RBB	YP_001085979	1 to 1	RBB	YP_002385619	0	N/A	
16128119	b0126	NP_414668.1	carbonic anhydrase	1 to 1	RBB	WP_003419492.1	1 to 1	Non-SSD	YP_005235834	1 to 1	Non-SSD	NP_459176.1	1 to 1	RBB	NP_253365.1	2 to 2	RBB	YP_001084018;YP_001086218	1 to 1	RBB	YP_002385620	1 to 1	RBB	WP_003095021.1
16128120	b0127	NP_414669.1	predicted transporter subunit: ATP-binding component of ABC superfamily	0	N/A		1 to 1	SSD	YP_005235835	1 to 1	SSD	NP_459177.1	1 to 1	SSD	NP_251502.1	1 to 1	SSD	YP_001085335	1 to 1	RBB	YP_002385621	1 to 1	SSD	WP_003090885.1
16128121	b0128	NP_414670.1	predicted transporter subunit: membrane component of ABC superfamily	0	N/A		1 to 1	Borderline-SSD	YP_005235836	1 to 1	Borderline-SSD	NP_459178.1	1 to 1	SSD	NP_251501.1	1 to 1	SSD	YP_001085336	1 to 1	RBB	YP_002385622	1 to 1	SSD	WP_003119886.1
16128122	b0129	NP_414671.1	predicted PTS Enzyme IIA	0	N/A		1 to 1	SSD	YP_005235842	1 to 1	SSD	NP_459183.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385623	0	N/A	
16128123	b0130	NP_414672.1	predicted polysaccharide deacetylase lipoprotein	0	N/A		1 to 1	SSD	YP_005235843	1 to 1	SSD	NP_459184.1	0	N/A		1 to 1	RBB	YP_001085909	1 to 1	RBB	YP_002385624	0	N/A	
16128124	b0131	NP_414673.1	aspartate 1-decarboxylase	1 to 1	RBB	WP_003419523.1	1 to 1	SSD	YP_005235844	1 to 1	SSD	NP_459185.1	1 to 1	SSD	NP_253419.1	1 to 1	RBB	YP_001083865	1 to 1	RBB	YP_002385625	1 to 1	RBB	WP_003095150.1
16128125	b0132	NP_414674.1	predicted transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385626	0	N/A	
16128126	b0133	NP_414675.1	pantothenate synthetase	1 to 1	RBB	WP_003419526.1	1 to 1	SSD	YP_005235845	1 to 1	SSD	NP_459186.1	1 to 1	SSD	NP_253418.1	1 to 1	SSD	YP_001083640	1 to 1	RBB	YP_002385627	1 to 1	SSD	WP_003109313.1
16128127	b0134	NP_414676.1	3-methyl-2-oxobutanoate hydroxymethyltransferase	1 to 1	RBB	WP_003411489.1	1 to 1	Non-SSD	YP_005235847	1 to 1	Non-SSD	NP_459187.1	1 to 1	SSD	NP_253417.1	1 to 1	SSD	YP_001083638	1 to 1	RBB	YP_002385628	1 to 1	SSD	WP_003095147.1
16128128	b0135	NP_414677.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385629	0	N/A	
16128129	b0136	NP_414678.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385630	0	N/A	
16128130	b0137	NP_414679.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385631	0	N/A	
90111089	b0138	NP_414680.4	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385632	0	N/A	
16128132	b0139	NP_414681.1	predicted outer membrane usher protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_252773.1	1 to 1	RBB	YP_001084537	1 to 1	RBB	YP_002385633	1 to 1	RBB	WP_003137603.1
16128133	b0140	NP_414682.1	predicted periplasmic pilin chaperone	0	N/A		1 to 1	RBB	YP_005236011	1 to 1	RBB	NP_459334.1	1 to 1	RBB	NP_252774.1	1 to 1	RBB	YP_001084538	1 to 1	RBB	YP_002385634	1 to 1	RBB	WP_003093375.1
16128134	b0141	NP_414683.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385635	0	N/A	
16128135	b0142	NP_414684.1	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	1 to 1	RBB	WP_003419536.1	1 to 1	SSD	YP_005235848	1 to 1	SSD	NP_459188.1	1 to 1	SSD	NP_253416.1	1 to 1	SSD	YP_001083637	1 to 1	RBB	YP_002385636	1 to 1	SSD	WP_003100189.1
162135892	b0143	NP_414685.4	poly(A) polymerase I	0	N/A		1 to 1	SSD	YP_005235849	1 to 1	SSD	NP_459189.1	1 to 1	SSD	NP_253415.1	1 to 1	SSD	YP_001083636	1 to 1	RBB	YP_002385637	1 to 1	SSD	WP_003135224.1
226524698	b0144	NP_414686.3	glutamyl-Q tRNA(Asp) synthetase	0	N/A		1 to 1	SSD	YP_005235850	1 to 1	SSD	NP_459190.2	1 to 1	RBB	NP_253412.1	1 to 1	Borderline-SSD	YP_001083324	1 to 1	RBB	YP_002385638	1 to 1	SSD	WP_003146131.1
16128138	b0145	NP_414687.1	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	0	N/A		1 to 1	SSD	YP_005235851	1 to 1	SSD	NP_459191.1	1 to 1	SSD	NP_253411.1	1 to 1	SSD	YP_001083325	1 to 1	RBB	YP_002385639	1 to 1	SSD	WP_003095122.1
16128139	b0146	NP_414688.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	SSD	YP_005235852	1 to 1	SSD	NP_459192.1	1 to 1	RBB	NP_253409.1	0	N/A		1 to 1	RBB	YP_002385640	1 to 1	RBB	WP_004365369.1
90111091	b0147	NP_414689.4	2'-5' RNA ligase	0	N/A		1 to 1	Borderline-SSD	YP_005235853	1 to 1	Borderline-SSD	NP_459193.1	1 to 1	RBB	NP_251551.1	0	N/A		1 to 1	RBB	YP_002385641	1 to 1	SSD	WP_003138730.1
162135893	b0148	NP_414690.4	predicted ATP-dependent helicase	0	N/A		1 to 1	SSD	YP_005235854	1 to 1	SSD	NP_459194.1	1 to 1	RBB	NP_252650.1	0	N/A		1 to 1	RBB	YP_002385642	1 to 1	RBB	YP_789156.1
16128142	b0149	NP_414691.1	fused glycosyl transferase and transpeptidase	1 to 1	RBB	WP_003400507.1	1 to 1	SSD	YP_005235857	1 to 1	SSD	NP_459195.1	1 to 1	RBB	NP_253388.1	1 to 1	RBB	YP_001085309	1 to 1	RBB	YP_002385643	1 to 1	RBB	WP_031627593.1
16128143	b0150	NP_414692.1	ferrichrome outer membrane transporter	0	N/A		1 to 1	SSD	YP_005235859	1 to 1	SSD	NP_459196.1	2 to 1	RBB	NP_249161.1;NP_251156.1	1 to 1	Borderline-SSD	YP_001086315	1 to 1	RBB	YP_002385644	2 to 1	RBB	WP_003116885.1;WP_011666537.1
16128144	b0151	NP_414693.1	iron-hydroxamate transporter subunit	0	N/A		1 to 1	Borderline-SSD	YP_005235860	1 to 1	Borderline-SSD	NP_459197.1	0	N/A		1 to 3	RBB	YP_001085408	1 to 1	RBB	YP_002385645	0	N/A	
16128145	b0152	NP_414694.1	iron-hydroxamate transporter subunit	0	N/A		1 to 1	SSD	YP_005235861	1 to 1	SSD	NP_459198.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385646	0	N/A	
16128146	b0153	NP_414695.1	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	0	N/A		1 to 1	SSD	YP_005235862	1 to 1	SSD	NP_459199.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385647	0	N/A	
16128147	b0154	NP_414696.1	glutamate-1-semialdehyde aminotransferase (aminomutase)	1 to 1	RBB	WP_003402844.1	1 to 1	SSD	YP_005235872	1 to 1	SSD	NP_459207.1	1 to 1	SSD	NP_252666.1	1 to 1	SSD	YP_001085484	1 to 1	RBB	YP_002385648	1 to 1	SSD	WP_003132522.1
16128148	b0155	NP_414697.1	chloride channel, voltage-gated	0	N/A		1 to 1	Non-SSD	YP_005235874	1 to 1	Non-SSD	NP_459208.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385649	0	N/A	
16128149	b0156	NP_414698.1	iron-sulfur cluster insertion protein	1 to 1	RBB	WP_003411418.1	1 to 1	SSD	YP_005235875	1 to 1	SSD	NP_459209.2	1 to 1	SSD	NP_249356.1	1 to 1	SSD	YP_001083110	1 to 1	RBB	YP_002385650	1 to 1	SSD	WP_003085254.1
16128150	b0157	NP_414699.1	inner membrane protein, UPF0126 family	0	N/A		1 to 1	SSD	YP_005235876	1 to 1	SSD	NP_459210.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385651	0	N/A	
16128151	b0158	NP_414700.1	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	0	N/A		1 to 1	SSD	YP_005235877	1 to 1	SSD	NP_459211.1	1 to 1	RBB	NP_252734.1	1 to 1	RBB	YP_001084816	1 to 1	RBB	YP_002385652	1 to 1	RBB	WP_003137636.1
16128152	b0159	NP_414701.1	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	1 to 1	RBB	WP_003913086.1	1 to 1	SSD	YP_005235878	1 to 1	SSD	NP_459212.1	0	N/A		1 to 1	RBB	YP_001083121	1 to 1	RBB	YP_002385653	0	N/A	
16128153	b0160	NP_414702.1	deoxyguanosine triphosphate triphosphohydrolase	1 to 1	RBB	WP_003899281.1	1 to 1	SSD	YP_005235879	1 to 1	SSD	NP_459213.1	1 to 1	RBB	NP_249815.1	1 to 1	RBB	YP_001085605	1 to 1	RBB	YP_002385654	1 to 1	RBB	WP_003109104.1
16128154	b0161	NP_414703.1	serine endoprotease (protease Do), membrane-associated	1 to 3	RBB	WP_003911452.1	1 to 1	SSD	YP_005235880	1 to 1	SSD	NP_459214.1	1 to 2	SSD	NP_249457.1	1 to 2	RBB	YP_001085544	1 to 1	RBB	YP_002385655	1 to 2	RBB	WP_003140933.1
90111093	b0162	NP_414704.4	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator	1 to 1	RBB	WP_003407376.1	1 to 1	Borderline-SSD	YP_005235881	1 to 1	Borderline-SSD	NP_459215.1	1 to 1	RBB	NP_249741.1	0	N/A		1 to 1	RBB	YP_002385656	1 to 1	RBB	WP_003112517.1
16128156	b0163	NP_414705.1	conserved protein, UPF0325 family	0	N/A		1 to 1	Borderline-SSD	YP_005235882	1 to 1	Borderline-SSD	NP_459216.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385657	0	N/A	
90111094	b0164	NP_414706.2	phosphodiesterase with model substrate bis-pNPP	1 to 1	RBB	WP_003899637.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001085993	0	N/A		0	N/A	
16128159	b0166	NP_414708.1	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	0	N/A		1 to 1	SimNSSD	YP_005235883	1 to 1	SimNSSD	NP_459218.1	0	N/A		1 to 1	SSD	YP_001085558	1 to 1	RBB	YP_002385658	0	N/A	
16128160	b0167	NP_414709.1	uridylyltransferase	1 to 1	RBB	WP_003899539.1	1 to 1	SSD	YP_005235884	1 to 1	SSD	NP_459219.1	1 to 1	SSD	NP_252348.1	1 to 1	SSD	YP_001084504	1 to 1	RBB	YP_002385659	1 to 1	RBB	WP_003138013.1
16128161	b0168	NP_414710.1	methionine aminopeptidase	1 to 1	RBB	WP_003899513.1	1 to 1	Non-SSD	YP_005235885	1 to 1	Non-SSD	NP_459220.1	1 to 1	SSD	NP_252347.1	1 to 1	SSD	YP_001085348	1 to 1	RBB	YP_002385660	1 to 1	SSD	WP_003092395.1
16128162	b0169	NP_414711.1	30S ribosomal subunit protein S2	1 to 1	RBB	WP_003899528.1	1 to 1	Borderline-SSD	YP_005235887	1 to 1	Borderline-SSD	NP_459221.1	1 to 1	SSD	NP_252346.1	1 to 1	SSD	YP_001085347	1 to 1	RBB	YP_002385662	1 to 1	SSD	WP_003092394.1
16128163	b0170	NP_414712.1	protein chain elongation factor EF-Ts	1 to 1	RBB	WP_003899527.1	1 to 1	SSD	YP_005235888	1 to 1	SSD	NP_459222.1	1 to 1	SSD	NP_252345.1	1 to 1	SSD	YP_001085346	1 to 1	RBB	YP_002385663	1 to 1	SSD	WP_003092393.1
16128164	b0171	NP_414713.1	uridylate kinase	1 to 1	RBB	WP_003414665.1	1 to 1	SimNSSD	YP_005235889	1 to 1	SimNSSD	NP_459223.1	1 to 1	SSD	NP_252344.1	1 to 1	SSD	YP_001085004	1 to 1	RBB	YP_002385664	1 to 1	SSD	WP_003092391.1
16128165	b0172	NP_414714.1	ribosome recycling factor	1 to 1	RBB	WP_003414663.1	1 to 1	SimNSSD	YP_005235890	1 to 1	SimNSSD	NP_459224.1	1 to 1	SSD	NP_252343.1	1 to 1	SSD	YP_001085003	1 to 1	RBB	YP_002385665	1 to 1	SSD	WP_003092390.1
16128166	b0173	NP_414715.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1 to 1	RBB	WP_003414613.1	1 to 1	SSD	YP_005235891	1 to 1	SSD	NP_459225.1	1 to 1	RBB	NP_252340.1	1 to 1	SSD	YP_001085000	1 to 1	RBB	YP_002385666	1 to 1	SSD	WP_003109337.1
16128167	b0174	NP_414716.1	undecaprenyl pyrophosphate synthase	1 to 1	RBB	WP_003412212.1	1 to 1	SSD	YP_005235893	1 to 1	SSD	NP_459226.1	1 to 1	SSD	NP_252342.1	1 to 1	SSD	YP_001085002	1 to 1	RBB	YP_002385667	1 to 1	SSD	WP_003129937.1
90111095	b0175	NP_414717.2	CDP-diglyceride synthase	1 to 1	RBB	WP_003414661.1	1 to 1	SSD	YP_005235894	1 to 1	SSD	NP_459227.1	1 to 1	SSD	NP_252341.1	1 to 1	SSD	YP_001085001	1 to 1	RBB	YP_002385669	1 to 1	SSD	WP_003092388.1
16128169	b0176	NP_414718.1	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA	1 to 1	RBB	WP_003899518.1	1 to 1	SSD	YP_005235895	1 to 1	SSD	NP_459228.1	1 to 1	SSD	NP_252339.1	1 to 1	SSD	YP_001084999	1 to 1	RBB	YP_002385670	1 to 1	SSD	WP_003138017.1
16128170	b0177	NP_414719.1	outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCD OM protein complex	0	N/A		1 to 1	SSD	YP_005235896	1 to 1	SSD	NP_459229.1	1 to 1	SSD	NP_252338.1	1 to 1	SSD	YP_001084998	1 to 1	RBB	YP_002385671	1 to 1	SSD	WP_003138020.1
16128171	b0178	NP_414720.1	periplasmic chaperone	0	N/A		1 to 1	SSD	YP_005235897	1 to 1	SSD	NP_459230.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385672	0	N/A	
16128172	b0179	NP_414721.1	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	0	N/A		1 to 1	SSD	YP_005235898	1 to 1	SSD	NP_459231.1	1 to 1	SSD	NP_252336.1	1 to 1	SSD	YP_001084996	1 to 1	RBB	YP_002385673	1 to 1	RBB	WP_003092378.1
16128173	b0180	NP_414722.1	(3R)-hydroxymyristol acyl carrier protein dehydratase	0	N/A		1 to 1	SSD	YP_005235899	1 to 1	SSD	NP_459232.1	1 to 1	SSD	NP_252335.1	1 to 1	SSD	YP_001084995	1 to 1	RBB	YP_002385674	1 to 1	SSD	WP_003092375.1
16128174	b0181	NP_414723.1	UDP-N-acetylglucosamine acetyltransferase	0	N/A		1 to 1	SSD	YP_005235900	1 to 1	SSD	NP_459233.1	1 to 1	SSD	NP_252334.1	1 to 1	SSD	YP_001084994	1 to 1	RBB	YP_002385675	1 to 1	RBB	WP_003092373.1
16128175	b0182	NP_414724.1	tetraacyldisaccharide-1-P synthase	0	N/A		1 to 1	SSD	YP_005235901	1 to 1	SSD	NP_459234.1	1 to 1	SSD	NP_252333.1	1 to 1	SSD	YP_001084697	1 to 1	RBB	YP_002385676	1 to 1	RBB	WP_003109334.1
16128176	b0183	NP_414725.1	ribonuclease HII, degrades RNA of DNA-RNA hybrids	1 to 1	RBB	WP_003414713.1	1 to 1	SSD	YP_005235902	1 to 1	SSD	NP_459235.1	1 to 1	SSD	NP_252332.1	1 to 1	SSD	YP_001084172	1 to 1	RBB	YP_002385677	1 to 1	SSD	WP_003092371.1
16128177	b0184	NP_414726.1	DNA polymerase III alpha subunit	1 to 1	RBB	WP_003407751.1	1 to 1	SSD	YP_005235903	1 to 1	SSD	NP_459236.1	1 to 1	SSD	NP_252330.1	1 to 1	SSD	YP_001084495	1 to 1	RBB	YP_002385678	1 to 1	SSD	WP_003098578.1
16128178	b0185	NP_414727.1	acetyl-CoA carboxylase, carboxytransferase, alpha subunit	0	N/A		1 to 1	SSD	YP_005235904	1 to 1	SSD	NP_459237.1	1 to 1	SSD	NP_252329.1	1 to 1	SSD	YP_001083659	1 to 1	RBB	YP_002385679	1 to 1	SSD	WP_003109333.1
16128179	b0186	NP_414728.1	lysine decarboxylase 2, constitutive	1 to 5	RBB	WP_003899363.1	1 to 1	RBB	YP_005235906	1 to 1	RBB	NP_459239.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385680	0	N/A	
